Unnamed: 0.1	Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	User Choice	Percent Common Papers	Name Relations	Concept Relation	ID Relation	Num Relations	Num Atoms
192	11379	C0398621	C1835362	Hypoplasminogenemia	"Lp(A) Deficiency, Congenital"	53	8	1				12	0	0	0	0	5
193	3151	C0020438	C0342345	Hypercalciuria	Hypoparathyroidism - autosomal dominant	3967	162	41				25	0	0	0	3	13
194	1499	C0015499	C0019069	Factor V Deficiency	Hemophilia A	871	21082	213				24	0	0	1	3	25
195	2998	C0431399	C1837713	Familial aplasia of the vermis	JOUBERT SYNDROME 3	213	159	46				28	0	0	0	1	4
196	10914	C1869116	C1970474	"ASTHMA, SUSCEPTIBILITY TO (finding)"	"ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 4"	360	7	1				14	3	0	0	0	3
197	3511	C0282527	C1832200	Infantile Refsum Disease	Peroxisome biogenesis disorders	185	219	32				17	0	0	0	0	8
198	7682	C0220710	C4017056	Medium-chain acyl-coenzyme A dehydrogenase deficiency	"ISOVALERIC ACIDEMIA, TYPE I"	438	26	3				11	0	0	0	0	1
199	5998	C0268301	C2678098	Reifenstein Syndrome	"Hypospadias 1, X-Linked"	2462	42	7				16	0	0	1	0	5
200	4709	C0086651	C4017253	"Mucopolysaccharidosis, MPS-IV-A"	"MUCOPOLYSACCHARIDOSIS, TYPE VI, SEVERE"	1260	115	15				13	1	0	0	0	1
201	3270	C0026760	C0265253	Multiple Epiphyseal Dysplasia	Stickler syndrome	29049	344	38				11	0	0	0	3	24
202	3072	C1843898	C4016383	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4	"OBESITY, ASSOCIATION WITH"	161	42427	44				27	0	0	0	0	1
203	2165	C0026709	C0086647	Mucopolysaccharidosis VI	Mucopolysaccharidosis Type IIIA	681	889	101				14	1	3	2	2	25
204	2968	C0017638	C0431109	Glioma	Choroid Plexus Carcinoma	87189	308	48				15	0	0	2	4	24
205	10938	C1853710	C3159322	"HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC"	"SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE"	7	65	1				14	0	0	1	0	14
206	3345	C0029434	C0264080	Osteogenesis Imperfecta	Juvenile osteoporosis	5398	144	36				25	0	0	0	1	10
207	2105	C0917713	C4016477	Becker Muscular Dystrophy	INTERMEDIATE MUSCULAR DYSTROPHY	11109	393	108				27	2	0	1	0	1
208	1922	C0022579	C0079153	Keratoderma	"Hyperkeratosis, Epidermolytic"	2901	578	128				22	0	0	0	6	22
209	3799	C0175695	C0265210	Sotos' syndrome	Weaver syndrome	473	109	26				23	0	0	0	2	24
210	3426	C0020608	C0265341	Hypodontia	Rieger syndrome	4163	308	34				11	0	0	0	4	24
211	2422	C0007193	C3152137	"Cardiomyopathy, Dilated"	LEFT VENTRICULAR NONCOMPACTION 3	21868	405	80				19	0	0	0	0	3
212	1653	C0015503	C0020640	Factor VII Deficiency	Inherited Factor II deficiency	1829	1411	176				12	1	0	2	1	25
213	4070	C0431399	C1969053	Familial aplasia of the vermis	JOUBERT SYNDROME 7	213	75	22				29	0	0	0	1	4
214	7715	C1850993	C2673946	"Foveal Hypoplasia, Isolated"	Foveal hypoplasia (finding)	12	152	3				25	2	0	0	0	1
215	6246	C0017662	C0398777	"Glomerulonephritis, Membranoproliferative"	Complement Factor H Deficiency	3840	42	6				14	0	0	0	0	15
216	1595	C0026705	C0026709	Mucopolysaccharidosis II	Mucopolysaccharidosis VI	1323	681	189				27	1	3	1	5	25
217	7047	C0018798	C1840333	Congenital Heart Defects	Barakat syndrome	147610	34	4				11	0	0	0	0	24
218	6016	C0039585	C2678098	Androgen-Insensitivity Syndrome	"Hypospadias 1, X-Linked"	2447	42	7				16	0	0	1	0	5
219	2280	C0027127	C0238357	Myotonia Congenita	Hyperkalemic periodic paralysis	1128	380	91				23	0	0	2	4	25
220	2008	C0026709	C0086651	Mucopolysaccharidosis VI	"Mucopolysaccharidosis, MPS-IV-A"	681	1260	119				17	1	3	2	7	25
221	4825	C1836026	C3845231	"PROGUANIL, POOR METABOLISM OF"	Poor metabolizer	61	1006	14				22	1	0	0	0	1
222	3375	C0220704	C1857586	Shprintzen syndrome	CONOTRUNCAL HEART MALFORMATIONS	2741	133	35				26	0	3	2	2	7
223	2495	C2910227	C4314863	Multicystic kidney disease	Renal tract malformations	447	4169	74				16	0	0	0	0	1
224	7178	C2609268	C4272382	Low phospholipid-associated cholelithiasis	progressive familial intrahepatic cholestasis type 2	36	138	4				11	0	0	0	0	2
225	532	C0001768	C4016473	Agammaglobulinemia	"HYPOAGAMMAGLOBULINEMIA, X-LINKED"	7575	31425	1252				16	0	0	2	0	1
226	1006	C0040038	C0242666	Thromboembolism	Protein S Deficiency	70934	1682	441				26	0	0	0	0	25
227	3428	C1857586	C4016770	CONOTRUNCAL HEART MALFORMATIONS	CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	133	2572	34				25	1	0	0	0	1
228	3268	C0854723	C1855465	Retinal Dystrophies	STARGARDT DISEASE 1	9449	253	38				15	0	0	0	1	11
229	1356	C0085390	C0346429	Li-Fraumeni Syndrome	Multiple malignancy	1216	215327	260				21	0	0	0	3	20
230	4536	C0035828	C3150943	Romano-Ward Syndrome	Long Qt Syndrome 2	345	81	16				19	0	0	0	1	9
231	1751	C0242343	C3489787	Panhypopituitarism	"Pituitary Hormone Deficiency, Combined, 3"	1599	603	155				25	0	0	0	1	10
232	915	C0221355	C3151356	Macrocephaly	"MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION"	2264	112283	540				23	0	0	0	0	3
233	12506	C0007194	C3150681	Hypertrophic Cardiomyopathy	"CARDIOMYOPATHY, DILATED, 1R"	18881	6	1				16	1	0	0	0	3
234	2191	C1860985	C4016282	"GASTRIC CANCER, SOMATIC"	"BREAST CANCER, SOMATIC"	677	2539	98				14	1	0	1	0	5
235	5366	C2673196	C4015861	LIPOPROTEIN GLOMERULOPATHY	"HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2"	118	84	10				11	0	0	1	0	1
236	4555	C0339526	C3151202	Autosomal recessive retinitis pigmentosa	LEBER CONGENITAL AMAUROSIS 8	1150	129	16				12	0	0	0	0	4
237	4592	C0032339	C0265308	Rothmund-Thomson syndrome	Baller-Gerold syndrome	684	65	16				24	0	0	0	0	23
238	9351	C0431376	C3836730	Cobblestone Lissencephaly	muscular dystrophy - dystroglycanopathy - congenital with intellectual disabilities	202	11	2				18	0	0	0	0	2
239	3293	C0268615	C4017062	"5,10-Methylenetetrahydrofolate reductase deficiency"	HOMOCYSTINURIA DUE TO MTHFR DEFICIENCY	164	129	37				28	0	0	0	0	1
240	2816	C0271093	C0854723	Stargardt's disease	Retinal Dystrophies	268	9449	55				20	0	0	0	1	25
241	4898	C1321551	C2697932	Shprintzen-Goldberg syndrome	Loeys-Dietz Syndrome	59	451	13				22	0	0	0	1	25
242	801	C0002312	C3890413	alpha-Thalassemia	HEMOGLOBIN I PHENOTYPE	7139	3633	694				19	0	0	1	2	2
243	1787	C0025269	C1833929	Multiple Endocrine Neoplasia Type 2b	"THYROID CARCINOMA, SPORADIC MEDULLARY"	813	948	150				18	0	0	2	0	1
244	9988	C0268338	C1858084	"Ehlers-Danlos Syndrome, Type IV"	"STICKLER SYNDROME, TYPE II"	3717	7	1				14	0	0	0	0	13
245	959	C0032580	C4228834	Adenomatous Polyposis Coli	"Colorectal adenomas, multiple"	8907	1688	496				29	0	0	0	0	1
246	10932	C0265235	C1858084	Marshall syndrome	"STICKLER SYNDROME, TYPE II"	58	7	1				14	0	0	1	0	13
247	6093	C1838163	C4016725	OSLER-RENDU-WEBER SYNDROME 2	"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE II"	36	233	7				19	0	0	0	0	0
248	1109	C0236642	C0750901	Pick Disease of the Brain	"Alzheimer Disease, Early Onset"	1447	98242	374				25	0	3	2	7	24
249	996	C0009402	C0031269	Colorectal Carcinoma	Peutz-Jeghers Syndrome	201452	2377	453				19	0	0	2	4	25
0		C0011847	C0011860	Diabetes	"Diabetes Mellitus, Non-Insulin-Dependent"	600000	142114	142114			1	100	1	1	2	17	7
1		C0030567	C0398794	Parkinson Disease	Hypopigmentation-immunodeficiency disease	73702	600000	36890			6	50	0	2	0	3	23
2		C0030567	C1846862	Parkinson Disease	PARKINSON DISEASE 8	73702	10370	10370			2	100	1	2	0	1	3
3		C0018051	C0019269	Gonadal Dysgenesis	Hermaphroditism	13319	42981	10222			5	76	0	2	2	13	24
4		C0018798	C0040761	Congenital Heart Defects	Transposition of Great Vessels	147610	7827	7642			2	97	0	1	2	16	25
5		C0346429	C2239176	Multiple malignancy	Liver carcinoma	215327	130028	7504			7	5	0	2	0	3	20
6		C0007115	C0238462	Malignant neoplasm of thyroid	Medullary carcinoma of thyroid	67377	7190	6592			1	91	1	2	2	11	25
7		C0010674	C0746102	Cystic Fibrosis	Chronic lung disease	49380	127813	6518			10	13	0	0	0	0	16
8		C0029464	C0432272	Osteosclerosis	Van Buchem disease	6048	28959	5419			3	89	0	2	0	6	25
9		C0543888	C3714756	Epileptic encephalopathy	Intellectual Disability	113136	97825	4559			7	4	0	2	0	0	25
10		C0795907	C4016770	CONOTRUNCAL ANOMALY FACE SYNDROME	CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	2576	2572	2572			1	100	3	0	0	0	1
11		C0035372	C1136249	Rett Syndrome	"Mental Retardation, X-Linked"	3467	14636	2434			4	70	0	2	0	4	24
12		C0018798	C0020626	Congenital Heart Defects	Hypoparathyroidism	147610	8473	2131			6	25	0	2	2	4	25
13		C0268301	C3489793	Reifenstein Syndrome	"46,XY Sex Reversal 3"	2462	4064	2010			7	81	0	0	0	0	12
14		C0013336	C0857439	Dwarfism	Pituitary hormone deficiency	17277	18247	1629			8	9	0	2	0	1	17
15		C0000768	C0009402	Congenital Abnormality	Colorectal Carcinoma	591498	201452	1491			5	0	0	2	2	11	25
16		C0000768	C0035334	Congenital Abnormality	Retinitis Pigmentosa	591498	10816	1408			6	13	0	2	2	13	25
17		C0027726	C0403397	Nephrotic Syndrome	Steroid-resistant nephrotic syndrome	21763	1278	1278			2	100	1	2	0	1	24
18		C0020443	C0241889	Hypercholesterolemia	Family history	42411	117019	1196			7	2	0	2	2	24	25
19		C0152200	C1849792	Achromatopsia	Achromatopsia 3	4390	1011	1011			1	100	1	0	0	0	17
20		C0018799	C0030567	Heart Diseases	Parkinson Disease	600000	73702	999			5	1	0	2	2	25	25
21		C0241889	C0494463	Family history	"Alzheimer Disease, Late Onset"	117019	98242	913			7	0	0	2	2	7	25
22		C0733682	C3536984	"Hypophosphatemic Rickets, X-Linked Dominant"	"Vitamin D-Resistant Rickets, X-Linked"	889	889	889			1	100	3	1	2	7	24
23		C0241889	C4229681	Family history	Increased risk of colorectal cancer	117019	11873	870			10	7	0	0	0	0	1
24		C0149871	C0398625	Deep Vein Thrombosis	Protein C Deficiency	82283	1973	777			9	39	0	0	0	0	24
25		C0029456	C0038015	Osteoporosis	Spondyloepiphyseal Dysplasia	81415	29077	769			8	2	0	2	0	2	17
26		C0206062	C0476273	"Lung Diseases, Interstitial"	Respiratory distress	60977	51307	727			3	1	0	2	2	11	25
27		C0006142	C2674950	Malignant neoplasm of breast	"LUNG CANCER, SUSCEPTIBILITY TO"	309961	5827	651			10	11	0	0	0	0	3
28		C0002878	C0271990	"Anemia, Hemolytic"	delta-Thalassemia	74976	660	593			5	89	0	0	0	0	24
29		C0000768	C0014859	Congenital Abnormality	Esophageal Neoplasms	591498	53754	415			7	0	0	2	0	11	24
30		C0549473	C1833921	Thyroid carcinoma	Familial medullary thyroid carcinoma	68555	398	398			1	100	1	2	0	6	24
31		C0006142	C0035412	Malignant neoplasm of breast	Rhabdomyosarcoma	309961	13631	393			6	2	0	2	0	5	25
32		C0268318	C3554241	Cholestasis of pregnancy	"CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3"	2082	381	381			1	100	2	2	0	1	2
33		C1136249	C1845333	"Mental Retardation, X-Linked"	"Mental Retardation, X-Linked 45"	14636	380	380			1	100	4	0	0	0	3
34		C0029422	C0039743	Osteochondrodysplasias	Thanatophoric Dysplasia	28883	502	380			8	75	0	0	0	0	25
35		C0150312	C0158646	Present	Cleft palate with cleft lip	600000	15183	376			6	2	0	2	2	3	20
36		C0035334	C3714756	Retinitis Pigmentosa	Intellectual Disability	10816	97825	354			8	3	0	2	0	2	25
37		C0011860	C0346429	"Diabetes Mellitus, Non-Insulin-Dependent"	Multiple malignancy	142114	215327	354			8	0	0	2	0	3	20
38		C0007115	C0079744	Malignant neoplasm of thyroid	Diffuse Large B-Cell Lymphoma	67377	24275	329			9	1	0	2	0	15	24
39		C0009402	C1333991	Colorectal Carcinoma	Hereditary Non-Polyposis Colon Cancer Type 2	201452	516	324			6	62	0	2	0	4	24
40		C0035334	C0339527	Retinitis Pigmentosa	Leber Congenital Amaurosis	10816	931	321			6	34	0	2	2	7	25
41		C0004096	C0011860	Asthma	"Diabetes Mellitus, Non-Insulin-Dependent"	175845	142114	320			7	0	0	2	2	24	25
42		C0011860	C4016103	"Diabetes Mellitus, Non-Insulin-Dependent"	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	142114	5965	313			10	5	0	0	0	0	1
43		C0023467	C0221013	"Leukemia, Myelocytic, Acute"	"Mastocytosis, Systemic"	73162	2170	301			2	13	0	2	1	4	25
44		C0000768	C0001768	Congenital Abnormality	Agammaglobulinemia	591498	7575	283			6	3	0	2	2	6	25
45		C0011854	C0242383	"Diabetes Mellitus, Insulin-Dependent"	Age related macular degeneration	92179	29421	280			7	0	0	2	0	18	24
46		C0027819	C2751682	Neuroblastoma	"NEUROBLASTOMA, SUSCEPTIBILITY TO, 2"	39783	278	278			1	100	1	0	0	0	3
47		C0038015	C0241889	Spondyloepiphyseal Dysplasia	Family history	29077	117019	274			10	0	0	2	0	2	17
48		C0039373	C0751490	Tay-Sachs Disease	Infantile Sandhoff Disease	1787	711	271			4	38	0	2	0	1	6
49		C0011195	C3714756	Dejerine-Sottas Disease	Intellectual Disability	6822	97825	257			8	3	0	2	0	2	24
50		C0346429	C1336839	Multiple malignancy	Type 1 Papillary Renal Cell Carcinoma	215327	2737	252			7	9	0	0	0	0	5
51		C0035334	C3150808	Retinitis Pigmentosa	RETINITIS PIGMENTOSA 55	10816	249	249			2	100	2	0	0	0	2
52		C0000768	C0002768	Congenital Abnormality	Congenital Pain Insensitivity	591498	653	243			3	37	0	2	2	3	25
53		C0002312	C0271990	alpha-Thalassemia	delta-Thalassemia	7139	660	219			5	33	1	0	0	0	25
54		C0035309	C0206062	Retinal Diseases	"Lung Diseases, Interstitial"	134253	60977	211			6	0	0	2	2	14	25
55		C0026705	C0086647	Mucopolysaccharidosis II	Mucopolysaccharidosis Type IIIA	1323	889	209			4	23	1	2	2	2	25
56		C0031511	C0206734	Pheochromocytoma	Hemangioblastoma	21435	2166	197			2	9	0	2	0	2	25
57		C0162566	C0268323	Porphyria Cutanea Tarda	Familial porphyria cutanea tarda	2170	197	197			1	100	3	2	1	4	17
58		C2675487	C3714756	"Mental Retardation, Autosomal Dominant 4"	Intellectual Disability	299	97825	190			4	63	0	2	0	1	3
59		C0007193	C0021051	"Cardiomyopathy, Dilated"	Immunologic Deficiency Syndromes	21868	308948	184			8	0	0	2	0	10	25
60		C0007097	C0085390	Carcinoma	Li-Fraumeni Syndrome	600000	1216	180			8	14	0	2	2	6	24
61		C0029422	C0410529	Osteochondrodysplasias	Hypochondroplasia	28883	271	177			4	65	0	2	2	4	24
62		C0027746	C3496228	Nerve Degeneration	"Leukodystrophy, Dysmyelinating, And Spastic Paraparesis With Or Without Dystonia"	37741	18391	172			2	0	0	2	0	1	7
63		C1833970	C1860985	"COLORECTAL CANCER, SOMATIC"	"GASTRIC CANCER, SOMATIC"	2214	677	169			1	24	1	0	1	0	13
64		C0023467	C4016397	"Leukemia, Myelocytic, Acute"	"CHRONIC MYELOID LEUKEMIA, RESISTANT TO IMATINIB"	73162	1436	156			3	10	1	0	0	0	1
65		C0015523	C3203356	Factor XI Deficiency	Factor II deficiency	1316	6662	145			2	11	1	2	2	8	23
66		C0020443	C0040038	Hypercholesterolemia	Thromboembolism	42411	70934	144			7	0	0	2	2	24	25
67		C0025362	C1839082	Mental Retardation	"MENTAL RETARDATION, X-LINKED 89"	112283	143	141			1	98	2	0	0	0	3
68		C0019569	C3553943	Hirschsprung Disease	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	4704	168719	139			8	2	0	0	0	0	4
69		C0038015	C0410480	Spondyloepiphyseal Dysplasia	Avascular Necrosis of Femur Head	29077	8657	137			7	1	0	2	2	2	17
70		C0751435	C2673535	Hyperphenylalaninaemia	"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE"	6755	238	137			10	57	0	0	0	0	21
71		C0751435	C2673535	Hyperphenylalaninaemia	"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE"	6755	238	137			10	57	0	0	0	0	21
72		C0020676	C1291299	Hypothyroidism	Deficiency of iodide peroxidase	42860	429	134			9	31	0	0	0	0	22
73		C0018798	C1857586	Congenital Heart Defects	CONOTRUNCAL HEART MALFORMATIONS	147610	133	125			1	93	1	2	0	3	7
74		C0158981	C0878544	Neonatal diabetes mellitus	Cardiomyopathies	12461	89623	121			10	0	0	2	0	1	25
75		C0039870	C4016129	Thinness	"LEANNESS, SUSCEPTIBILITY TO"	7166	144	120			4	83	0	0	0	0	0
76		C0006142	C1168401	Malignant neoplasm of breast	Squamous cell carcinoma of the head and neck	309961	7214	119			6	1	0	2	2	4	25
77		C0241889	C0398625	Family history	Protein C Deficiency	117019	1973	114			9	5	0	0	0	0	25
78		C0009952	C0220669	Febrile Convulsions	Familial benign neonatal epilepsy	5067	570	97			9	17	0	2	0	3	25
79		C0037772	C0205711	Spastic Paraplegia	Pelizaeus-Merzbacher Disease	21054	617	94			8	15	0	2	0	4	24
80		C0030567	C1851920	Parkinson Disease	Dopa-Responsive Dystonia	73702	488	88			8	18	0	2	0	2	24
81		C0026850	C0079298	Muscular Dystrophy	Epidermolysis Bullosa Simplex	33784	826	83			8	10	0	2	0	4	25
82		C1839606	C1839874	Low-molecular-weight proteinuria	Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis	720	81	81			1	100	4	0	0	0	4
83		C0018099	C3536827	Gout	Glycogenosis with glucoaminophosphaturia	17120	6868	68			6	0	0	2	0	3	10
84		C0238261	C4016108	Lymphedema praecox	"LYMPHEDEMA, HEREDITARY, I"	59	13495	59			1	100	1	0	0	0	1
85		C0006142	C0020615	Malignant neoplasm of breast	Hypoglycemia	309961	45772	56			7	0	0	2	2	19	24
86		C0015503	C0149871	Factor VII Deficiency	Deep Vein Thrombosis	1829	82283	53			7	2	0	2	2	4	24
87		C0020676	C0022735	Hypothyroidism	Klinefelter Syndrome	42860	4232	51			6	1	0	2	2	25	24
88		C0039685	C0241889	Tetralogy of Fallot	Family history	11426	117019	50			9	0	0	2	0	8	25
89		C0021364	C0025322	Male infertility	Premature Menopause	45629	1866	50			8	2	0	2	0	10	25
90		C0029925	C0238462	Ovarian Carcinoma	Medullary carcinoma of thyroid	34444	7190	47			8	0	0	2	0	10	24
91		C0014547	C0027794	"Epilepsies, Partial"	Neural Tube Defects	22861	29820	47			7	0	0	2	0	5	25
92		C0014544	C0027126	Epilepsy	Myotonic Dystrophy	140074	6483	44			7	0	0	2	2	9	25
93		C1969389	C4016282	"NONSMALL CELL LUNG CANCER, SOMATIC"	"BREAST CANCER, SOMATIC"	653	2539	42			1	6	1	0	1	0	2
94		C0021655	C0220989	Insulin Resistance	Acquired partial lipodystrophy	113459	168	42			3	25	0	2	0	4	24
95		C0085612	C0410189	Ventricular arrhythmia	"Muscular Dystrophy, Emery-Dreifuss"	83880	721	42			8	5	0	2	0	2	25
96		C0007194	C0011854	Hypertrophic Cardiomyopathy	"Diabetes Mellitus, Insulin-Dependent"	18881	92179	41			9	0	0	2	0	13	25
97		C0238462	C1833930	Medullary carcinoma of thyroid	"PHEOCHROMOCYTOMA, SOMATIC"	7190	236	40			7	16	0	0	0	0	3
98		C0238462	C1833930	Medullary carcinoma of thyroid	"PHEOCHROMOCYTOMA, SOMATIC"	7190	236	40			7	16	0	0	0	0	3
99		C0751071	C1858680	Familial Dementia	Familial encephalopathy with neuroserpin inclusion bodies	188254	51	39			6	76	1	0	0	0	10
100		C0007194	C0011860	Hypertrophic Cardiomyopathy	"Diabetes Mellitus, Non-Insulin-Dependent"	18881	142114	38			9	0	0	2	2	13	25
101		C0020459	C3279695	Hyperinsulinism	"ATRIAL FIBRILLATION, FAMILIAL, 12"	81647	14029	35			8	0	0	0	0	0	5
102		C0007115	C0024899	Malignant neoplasm of thyroid	Mastocytosis	67377	6995	32			7	0	0	2	0	12	25
103		C0002395	C0013264	Alzheimer's Disease	"Muscular Dystrophy, Duchenne"	139725	10808	32			10	0	0	2	2	5	25
104		C0039445	C3203102	Hereditary hemorrhagic telangiectasia	Idiopathic pulmonary arterial hypertension	3641	3570	32			9	0	0	2	0	4	24
105		C2239176	C4016033	Liver carcinoma	"NONSMALL CELL LUNG CANCER, RESISTANCE TO TYROSINE KINASE INHIBITOR IN"	130028	983	30			9	3	0	0	0	0	1
106		C1833970	C1969388	"COLORECTAL CANCER, SOMATIC"	"HEPATOCELLULAR CARCINOMA, SOMATIC"	2214	491	30			1	6	0	0	1	0	11
107		C0039685	C1956125	Tetralogy of Fallot	Alagille Syndrome 1	11426	886	30			9	3	0	2	0	1	9
108		C0006142	C0007193	Malignant neoplasm of breast	"Cardiomyopathy, Dilated"	309961	21868	30			5	0	0	2	0	10	25
109		C0040034	C0162872	Thrombocytopenia	"Aortic Aneurysm, Thoracic"	70120	19227	25			5	0	0	2	2	9	25
110		C0035334	C0339510	Retinitis Pigmentosa	Vitelliform Macular Dystrophy	10816	497	25			7	5	0	2	0	2	25
111		C0340970	C1859966	Congenital neutropenia	"Neutropenia, Severe Congenital, Autosomal Dominant 1"	680	24	24			6	100	1	0	0	0	4
112		C0158646	C1563720	Cleft palate with cleft lip	Kallmann Syndrome 2	15183	855	24			3	2	0	2	0	2	10
113		C0085584	C1836635	Encephalopathies	Loeys-Dietz Aortic Aneurysm Syndrome	600000	436	23			2	5	0	2	0	2	13
114		C4017453	C4311029	HEMOGLOBIN SINAI PHENOTYPE	HEMOGLOBIN YUKUHASHI-2	23	196933	23			1	100	1	0	0	0	1
115		C0241889	C4016054	Family history	"MARFAN SYNDROME, NEONATAL"	117019	429	21			9	4	0	0	0	0	3
116		C0027707	C0035334	"Nephritis, Interstitial"	Retinitis Pigmentosa	22264	10816	20			8	0	0	2	2	13	25
117		C0030305	C0268318	Pancreatitis	Cholestasis of pregnancy	65210	2082	19			10	0	0	2	0	3	24
118		C0020074	C0031511	HSAN Type IV	Pheochromocytoma	2026	21435	19			8	0	0	2	0	3	25
119		C0001733	C0398625	Afibrinogenemia	Protein C Deficiency	2381	1973	16			9	0	0	0	0	0	24
120		C0079541	C3489529	Holoprosencephaly	"Tooth Agenesis, Familial"	2050	3678	16			9	0	0	2	0	2	24
121		C0010278	C0235833	Craniosynostosis	Congenital diaphragmatic hernia	6837	6513	14			8	0	0	2	0	7	25
122		C0010674	C0029925	Cystic Fibrosis	Ovarian Carcinoma	49380	34444	14			7	0	0	2	2	10	24
123		C0751436	C1851920	"Hyperphenylalaninemia, Non-Phenylketonuric"	Dopa-Responsive Dystonia	6681	488	14			7	2	0	2	0	2	24
124		C0029925	C1851162	Ovarian Carcinoma	"BLADDER CANCER, SOMATIC"	34444	398	13			6	3	0	0	0	0	4
125		C0007196	C1860752	Restrictive cardiomyopathy	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 7"	1984	232	11			1	4	1	2	0	1	3
126		C0037769	C0079541	West Syndrome	Holoprosencephaly	16172	2050	11			6	0	0	2	0	7	25
127		C0024899	C0085110	Mastocytosis	Severe Combined Immunodeficiency	6995	7990	10			8	0	0	2	2	12	25
128		C0000768	C1838437	Congenital Abnormality	"VENOUS MALFORMATIONS, MULTIPLE CUTANEOUS AND MUCOSAL"	591498	15	10			6	66	0	2	0	2	15
129		C0158981	C0854723	Neonatal diabetes mellitus	Retinal Dystrophies	12461	9449	9			9	0	0	2	0	1	25
130		C0265252	C0796237	Coffin-Lowry syndrome	"Mental Retardation, X-Linked 30"	226	802	9			9	3	0	2	0	0	7
131		C0017638	C0206686	Glioma	Adrenocortical carcinoma	87189	3369	8			8	0	0	2	2	11	24
132		C0036341	C0162809	Schizophrenia	Kallmann Syndrome	134381	855	8			10	0	0	2	2	15	25
133		C0030567	C2973725	Parkinson Disease	Pulmonary arterial hypertension	73702	19359	8			7	0	0	2	0	2	24
134		C0079474	C0432321	Hallopeau-Siemens Disease	"Epidermolysis bullosa, pretibial"	1183	8	8			1	100	0	0	1	0	20
135		C1836635	C3714756	Loeys-Dietz Aortic Aneurysm Syndrome	Intellectual Disability	436	97825	7			6	1	0	2	0	2	13
136		C1868684	C3151097	"EAR, PATELLA, SHORT STATURE SYNDROME"	MEIER-GORLIN SYNDROME 2	44	6	6			2	100	0	0	0	0	3
137		C0265234	C3551443	Branchio-Oto-Renal Syndrome	ANTERIOR SEGMENT ANOMALIES WITH OR WITHOUT CATARACT	317	70133	5			8	1	0	0	0	0	1
138		C0014527	C1567744	Epidermolysis Bullosa	"Alport Syndrome, Autosomal Recessive"	5786	2094	5			7	0	0	2	2	3	19
139		C0950121	C4228353	Denys-Drash Syndrome	Cardiac malformations	294	168650	5			10	1	0	0	0	0	1
140		C0007194	C3714934	Hypertrophic Cardiomyopathy	"MYOPATHY, MYOFIBRILLAR, 3"	18881	230	4			4	1	0	0	0	0	8
141		C0020542	C1867450	Pulmonary Hypertension	"Pseudoxanthoma Elasticum, Incomplete"	59448	1837	4			5	0	0	2	0	1	12
142		C0162809	C0346300	Kallmann Syndrome	Pituitary carcinoma	855	35065	4			10	0	0	2	0	4	25
143		C0086543	C0542519	Cataract	Congenital absence of kidney	68182	666	4			8	0	0	2	0	14	24
144		C0030305	C4272382	Pancreatitis	progressive familial intrahepatic cholestasis type 2	65210	138	4			7	2	0	0	0	0	2
145		C0002768	C0029422	Congenital Pain Insensitivity	Osteochondrodysplasias	653	28883	3			9	0	0	2	2	3	25
146		C1833929	C3888239	"THYROID CARCINOMA, SPORADIC MEDULLARY"	"HIRSCHSPRUNG DISEASE, SUSCEPTIBILITY TO, 1"	948	104	3			2	2	0	2	1	0	1
147		C0694566	C3887645	"Atypical Mycobacterial Infection, Disseminated"	Job Syndrome	10128	2154	3			6	0	0	2	0	1	12
148		C0079154	C0598226	Congenital Nonbullous Ichthyosiform Erythroderma	Harlequin type ichthyosis	1097	3	3			6	100	0	2	2	2	9
149		C0268743	C2749604	"Membranoproliferative Glomerulonephritis, Type II"	"HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1"	3840	43	3			9	6	0	0	0	0	5
150		C0003076	C0020608	Aniridia	Hypodontia	1493	4163	3			8	0	0	2	0	4	24
