	Unnamed: 0	Unnamed: 0.1	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Group Average	My Input	Target	Name Relations	Paper Relations	Concept Relation	ID Relation	Num Relations	Num Atoms	Context Type
163	163	163	C1321551	C3553943	Shprintzen-Goldberg syndrome	T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS	59	168719	13	9.333333332999999	10.0	10	0	22	0	0	0	4	True
164	164	164	C0017551	C0268306	Gilbert Disease	Unconjugated hyperbilirubinemia	4873	1081	239	3.333333333	4.0	4	0	22	0	0	0	25	True
165	165	165	C0011860	C0021655	Diabetes Mellitus, Non-Insulin-Dependent	Insulin Resistance	142114	113459	24543	3.666666667	5.0	3	1	21	2	2	8	24	False
166	166	166	C0410190	C1720860	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	Familial Partial Lipodystrophy, Type 2	719	329	43	4.333333333	4.0	2	0	13	2	1	2	24	True
167	167	167	C0007194	C0007196	Hypertrophic Cardiomyopathy	Restrictive cardiomyopathy	18881	1984	539	5.666666667	7.0	6	1	27	2	2	8	25	True
168	168	168	C0149841	C3489789	Benign recurrent intrahepatic cholestasis	Cholestasis, Progressive Familial Intrahepatic, 2	242	302	38	6.0	4.0	4	2	15	2	0	1	5	True
169	169	169	C0342776	C1838979	Nicotinamide adenine dinucleotide coenzyme Q reductase deficiency	MITOCHONDRIAL COMPLEX I DEFICIENCY	77	135	10	3.333333333	4.0	4	0	12	0	0	0	11	True
170	170	170	C0029925	C3469523	Ovarian Carcinoma	OVARIAN CANCER, SUSCEPTIBILITY TO	34444	4371	742	3.333333333	3.0	2	1	16	2	0	1	3	False
171	171	171	C0006142	C3469524	Malignant neoplasm of breast	PROSTATE CANCER, SUSCEPTIBILITY TO	309961	3698	738	5.0	8.0	7	0	19	0	0	0	7	False
172	172	172	C0033300	C1837756	Progeria	MANDIBULOACRAL DYSPLASIA WITH TYPE B LIPODYSTROPHY	1917	5	1	7.333333333	9.0	8	0	20	0	2	0	6	True
173	173	173	C0014544	C1720416	Epilepsy	Episodic ataxia type 2	140074	235	30	5.333333333	7.0	6	0	12	2	0	1	25	True
174	174	174	C3150933	C3838758	HYPERALDOSTERONISM, FAMILIAL, TYPE III	Familial hyperaldosteronism type 3	32	48	7	2.0	1.0	1	2	21	0	0	0	5	True
175	175	175	C1865643	C3550019	Cholestasis, progressive familial intrahepatic 3	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY, 3	36	381	5	3.666666667	2.0	1	3	13	2	1	0	2	False
176	176	176	C0019562	C0030421	Von Hippel-Lindau Syndrome	Paraganglioma	4082	23102	612	7.333333333	8.0	8	0	14	2	2	6	25	False
177	177	177	C1836032	C3150354	Immunoglobulin a deficiency 2	IMMUNODEFICIENCY, COMMON VARIABLE, 2	1596	1186	162	5.0	5.0	2	1	13	2	1	0	5	True
178	178	178	C4016132	C4016275	HYPOGONADOTROPIC HYPOGONADISM 7 WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 11 WITHOUT ANOSMIA	73	57	15	2.666666667	3.0	2	3	26	0	0	0	1	True
179	179	179	C2674636	C4016293	GASTROINTESTINAL STROMAL TUMOR, FAMILIAL	GASTROINTESTINAL STROMAL TUMOR, SOMATIC	348	126	34	4.333333333	4.0	1	3	26	0	1	0	2	False
180	180	180	C0019569	C1275808	Hirschsprung Disease	Congenital central hypoventilation	4704	581	113	6.0	7.0	8	0	19	2	2	2	24	True
181	181	181	C0015503	C0015523	Factor VII Deficiency	Factor XI Deficiency	1829	1316	165	3.333333333	2.0	1	1	12	2	2	4	25	True
182	182	182	C0342637	C1832615	Hypocalciuric hypercalcemia, familial, type 1	HYPERPARATHYROIDISM, NEONATAL SEVERE	59	208	10	6.0	3.0	3	0	16	2	1	1	14	True
183	183	183	C0007194	C1834481	Hypertrophic Cardiomyopathy	CARDIOMYOPATHY, DILATED, 1S	18881	4	1	5.0	4.0	4	1	25	2	0	3	4	True
184	184	184	C0008370	C3151147	Cholestasis	Bile Acid Synthesis Defect, Congenital, 3	37733	102	26	5.333333333	5.0	6	0	25	0	0	0	5	True
185	185	185	C0010273	C3281247	Craniofacial Dysostosis	BENT BONE DYSPLASIA SYNDROME	5697	34	4	4.666666667	5.0	6	0	11	0	2	0	3	True
186	186	186	C0014474	C1510426	Ependymoma	choroid plexus carcinoma, childhood	6230	39	5	7.0	8.0	7	0	12	2	0	1	4	True
187	187	187	C1851162	C2674643	BLADDER CANCER, SOMATIC	KERATOSIS, SEBORRHEIC, SOMATIC	398	15	4	5.333333333	5.0	3	0	26	0	1	0	2	False
188	188	188	C0175699	C1864436	Saethre-Chotzen Syndrome	Muenke Syndrome	1615	72	20	4.333333333	5.0	6	0	27	0	0	0	18	True
189	189	189	C0039445	C0345893	Hereditary hemorrhagic telangiectasia	Juvenile polyposis syndrome	3641	217	27	6.333333333	6.0	4	0	12	2	0	1	24	False
190	190	190	C0006142	C1969537	Malignant neoplasm of breast	OVARIAN CANCER, SOMATIC	309961	1306	276	4.0	4.0	3	0	21	0	0	0	7	False
191	191	191	C0241889	C4017003	Family history	FH AFRIKANER 2 PHENOTYPE	117019	4	1	7.666666667	8.0	9	0	25	0	0	0	1	True
192	192	192	C0398621	C1835362	Hypoplasminogenemia	Lp(A) Deficiency, Congenital	53	8	1	5.0	6.0	6	0	12	0	0	0	5	True
193	193	193	C0020438	C0342345	Hypercalciuria	Hypoparathyroidism - autosomal dominant	3967	162	41	6.333333333	8.0	7	0	25	2	0	3	13	False
194	194	194	C0015499	C0019069	Factor V Deficiency	Hemophilia A	871	21082	213	5.0	5.0	2	0	24	2	1	3	25	True
195	195	195	C0431399	C1837713	Familial aplasia of the vermis	JOUBERT SYNDROME 3	213	159	46	4.333333333	5.0	5	0	28	2	0	1	4	True
196	196	196	C1869116	C1970474	ASTHMA, SUSCEPTIBILITY TO (finding)	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 4	360	7	1	2.0	3.0	1	3	14	0	0	0	3	True
197	197	197	C0282527	C1832200	Infantile Refsum Disease	Peroxisome biogenesis disorders	185	219	32	5.0	6.0	5	0	17	0	0	0	8	True
198	198	198	C0220710	C4017056	Medium-chain acyl-coenzyme A dehydrogenase deficiency	ISOVALERIC ACIDEMIA, TYPE I	438	26	3	6.0	7.0	6	0	11	0	0	0	1	False
199	199	199	C0268301	C2678098	Reifenstein Syndrome	Hypospadias 1, X-Linked	2462	42	7	6.0	5.0	3	0	16	0	1	0	5	True
200	200	200	C0086651	C4017253	Mucopolysaccharidosis, MPS-IV-A	MUCOPOLYSACCHARIDOSIS, TYPE VI, SEVERE	1260	115	15	2.666666667	4.0	3	1	13	0	0	0	1	False
201	201	201	C0026760	C0265253	Multiple Epiphyseal Dysplasia	Stickler syndrome	29049	344	38	7.0	8.0	10	0	11	2	0	3	24	False
202	202	202	C1843898	C4016383	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4	OBESITY, ASSOCIATION WITH	161	42427	44	3.0	5.0	4	0	27	0	0	0	1	True
203	203	203	C0026709	C0086647	Mucopolysaccharidosis VI	Mucopolysaccharidosis Type IIIA	681	889	101	3.0	3.0	3	1	14	2	2	2	25	True
204	204	204	C0017638	C0431109	Glioma	Choroid Plexus Carcinoma	87189	308	48	5.333333333	6.0	5	0	15	2	2	4	24	True
205	205	205	C1853710	C3159322	HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC	SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE	7	65	1	9.0	4.0	2	0	14	0	1	0	14	True
206	206	206	C0029434	C0264080	Osteogenesis Imperfecta	Juvenile osteoporosis	5398	144	36	6.666666667	7.0	5	0	25	2	0	1	10	False
207	207	207	C0917713	C4016477	Becker Muscular Dystrophy	INTERMEDIATE MUSCULAR DYSTROPHY	11109	393	108	3.0	3.0	2	2	27	0	1	0	1	False
208	208	208	C0022579	C0079153	Keratoderma	Hyperkeratosis, Epidermolytic	2901	578	128	3.333333333	5.0	4	0	22	2	0	6	22	True
209	209	209	C0175695	C0265210	Sotos' syndrome	Weaver syndrome	473	109	26	3.333333333	5.0	4	0	23	2	0	2	24	True
210	210	210	C0020608	C0265341	Hypodontia	Rieger syndrome	4163	308	34	7.0	8.0	9	0	11	2	0	4	24	False
211	211	211	C0007193	C3152137	Cardiomyopathy, Dilated	LEFT VENTRICULAR NONCOMPACTION 3	21868	405	80	3.666666667	5.0	5	0	19	0	0	0	3	True
212	212	212	C0015503	C0020640	Factor VII Deficiency	Inherited Factor II deficiency	1829	1411	176	2.666666667	3.0	2	1	12	2	2	1	25	True
213	213	213	C0431399	C1969053	Familial aplasia of the vermis	JOUBERT SYNDROME 7	213	75	22	3.333333333	5.0	4	0	29	2	0	1	4	True
214	214	214	C1850993	C2673946	Foveal Hypoplasia, Isolated	Foveal hypoplasia (finding)	12	152	3	2.333333333	2.0	2	2	25	0	0	0	1	False
215	215	215	C0017662	C0398777	Glomerulonephritis, Membranoproliferative	Complement Factor H Deficiency	3840	42	6	5.0	8.0	8	0	14	0	0	0	15	True
216	216	216	C0026705	C0026709	Mucopolysaccharidosis II	Mucopolysaccharidosis VI	1323	681	189	2.333333333	2.0	1	1	27	2	1	5	25	True
217	217	217	C0018798	C1840333	Congenital Heart Defects	Barakat syndrome	147610	34	4	8.0	9.0	10	0	11	0	0	0	24	False
218	218	218	C0039585	C2678098	Androgen-Insensitivity Syndrome	Hypospadias 1, X-Linked	2447	42	7	4.666666667	5.0	3	0	16	0	1	0	5	True
219	219	219	C0027127	C0238357	Myotonia Congenita	Hyperkalemic periodic paralysis	1128	380	91	3.333333333	4.0	5	0	23	2	2	4	25	True
220	220	220	C0026709	C0086651	Mucopolysaccharidosis VI	Mucopolysaccharidosis, MPS-IV-A	681	1260	119	3.0	3.0	2	1	17	2	2	7	25	True
221	221	221	C1836026	C3845231	PROGUANIL, POOR METABOLISM OF	Poor metabolizer	61	1006	14	3.0	3.0	3	1	22	0	0	0	1	False
222	222	222	C0220704	C1857586	Shprintzen syndrome	CONOTRUNCAL HEART MALFORMATIONS	2741	133	35	6.0	7.0	7	0	26	2	2	2	7	True
223	223	223	C2910227	C4314863	Multicystic kidney disease	Renal tract malformations	447	4169	74	5.0	5.0	5	0	16	0	0	0	1	False
224	224	224	C2609268	C4272382	Low phospholipid-associated cholelithiasis	progressive familial intrahepatic cholestasis type 2	36	138	4	4.666666667	6.0	6	0	11	0	0	0	2	True
225	225	225	C0001768	C4016473	Agammaglobulinemia	HYPOAGAMMAGLOBULINEMIA, X-LINKED	7575	31425	1252	4.666666667	6.0	5	0	16	0	2	0	1	False
226	226	226	C0040038	C0242666	Thromboembolism	Protein S Deficiency	70934	1682	441	5.333333333	7.0	6	0	26	0	0	0	25	False
227	227	227	C1857586	C4016770	CONOTRUNCAL HEART MALFORMATIONS	CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	133	2572	34	4.666666667	5.0	4	1	25	0	0	0	1	False
228	228	228	C0854723	C1855465	Retinal Dystrophies	STARGARDT DISEASE 1	9449	253	38	6.666666667	7.0	7	0	15	2	0	1	11	True
229	229	229	C0085390	C0346429	Li-Fraumeni Syndrome	Multiple malignancy	1216	215327	260	3.0	5.0	4	0	21	2	0	3	20	False
230	230	230	C0035828	C3150943	Romano-Ward Syndrome	Long Qt Syndrome 2	345	81	16	4.0	6.0	5	0	19	2	0	1	9	True
231	231	231	C0242343	C3489787	Panhypopituitarism	Pituitary Hormone Deficiency, Combined, 3	1599	603	155	3.666666667	4.0	4	0	25	2	0	1	10	True
232	232	232	C0221355	C3151356	Macrocephaly	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION	2264	112283	540	4.666666667	6.0	5	0	23	0	0	0	3	False
233	233	233	C0007194	C3150681	Hypertrophic Cardiomyopathy	CARDIOMYOPATHY, DILATED, 1R	18881	6	1	4.0	5.0	4	1	16	0	0	0	3	True
234	234	234	C1860985	C4016282	GASTRIC CANCER, SOMATIC	BREAST CANCER, SOMATIC	677	2539	98	5.666666667	6.0	2	1	14	0	1	0	5	True
235	235	235	C2673196	C4015861	LIPOPROTEIN GLOMERULOPATHY	HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2	118	84	10	7.666666667	6.0	2	0	11	0	1	0	1	False
236	236	236	C0339526	C3151202	Autosomal recessive retinitis pigmentosa	LEBER CONGENITAL AMAUROSIS 8	1150	129	16	5.666666667	7.0	6	0	12	0	0	0	4	False
237	237	237	C0032339	C0265308	Rothmund-Thomson syndrome	Baller-Gerold syndrome	684	65	16	7.333333333	8.0	7	0	24	0	0	0	23	True
238	238	238	C0431376	C3836730	Cobblestone Lissencephaly	muscular dystrophy - dystroglycanopathy - congenital with intellectual disabilities	202	11	2	7.0	9.0	9	0	18	0	0	0	2	True
239	239	239	C0268615	C4017062	5,10-Methylenetetrahydrofolate reductase deficiency	HOMOCYSTINURIA DUE TO MTHFR DEFICIENCY	164	129	37	3.333333333	5.0	4	0	28	0	0	0	1	False
240	240	240	C0271093	C0854723	Stargardt's disease	Retinal Dystrophies	268	9449	55	5.333333333	7.0	5	0	20	2	0	1	25	True
241	241	241	C1321551	C2697932	Shprintzen-Goldberg syndrome	Loeys-Dietz Syndrome	59	451	13	6.666666667	8.0	7	0	22	2	0	1	25	True
242	242	242	C0002312	C3890413	alpha-Thalassemia	HEMOGLOBIN I PHENOTYPE	7139	3633	694	3.333333333	4.0	2	0	19	2	1	2	2	False
243	243	243	C0025269	C1833929	Multiple Endocrine Neoplasia Type 2b	THYROID CARCINOMA, SPORADIC MEDULLARY	813	948	150	3.666666667	5.0	4	0	18	0	2	0	1	True
244	244	244	C0268338	C1858084	Ehlers-Danlos Syndrome, Type IV	STICKLER SYNDROME, TYPE II	3717	7	1	6.333333333	8.0	9	0	14	0	0	0	13	True
245	245	245	C0032580	C4228834	Adenomatous Polyposis Coli	Colorectal adenomas, multiple	8907	1688	496	3.666666667	5.0	5	0	29	0	0	0	1	False
246	246	246	C0265235	C1858084	Marshall syndrome	STICKLER SYNDROME, TYPE II	58	7	1	5.333333333	4.0	2	0	14	0	1	0	13	True
247	247	247	C1838163	C4016725	OSLER-RENDU-WEBER SYNDROME 2	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE II	36	233	7	2.666666667	5.0	3	0	19	0	0	0	0	False
248	248	248	C0236642	C0750901	Pick Disease of the Brain	Alzheimer Disease, Early Onset	1447	98242	374	5.333333333	5.0	6	0	25	2	2	7	24	True
249	249	249	C0009402	C0031269	Colorectal Carcinoma	Peutz-Jeghers Syndrome	201452	2377	453	6.0	7.0	7	0	19	2	2	4	25	False
250	250	250	C0011847	C0011860	Diabetes	Diabetes Mellitus, Non-Insulin-Dependent	600000	142114	142114			1	1	100	1	2	17	7	True
251	251	251	C0030567	C0398794	Parkinson Disease	Hypopigmentation-immunodeficiency disease	73702	600000	36890			6	0	50	2	0	3	23	True
252	252	252	C0030567	C1846862	Parkinson Disease	PARKINSON DISEASE 8	73702	10370	10370			2	1	100	2	0	1	3	True
253	253	253	C0018051	C0019269	Gonadal Dysgenesis	Hermaphroditism	13319	42981	10222			5	0	76	2	2	13	24	False
254	254	254	C0018798	C0040761	Congenital Heart Defects	Transposition of Great Vessels	147610	7827	7642			2	0	97	1	2	16	25	True
255	255	255	C0346429	C2239176	Multiple malignancy	Liver carcinoma	215327	130028	7504			7	0	5	2	0	3	20	True
256	256	256	C0007115	C0238462	Malignant neoplasm of thyroid	Medullary carcinoma of thyroid	67377	7190	6592			1	1	91	2	2	11	25	True
257	257	257	C0010674	C0746102	Cystic Fibrosis	Chronic lung disease	49380	127813	6518			10	0	13	0	0	0	16	True
258	258	258	C0029464	C0432272	Osteosclerosis	Van Buchem disease	6048	28959	5419			3	0	89	2	0	6	25	True
259	259	259	C0543888	C3714756	Epileptic encephalopathy	Intellectual Disability	113136	97825	4559			7	0	4	2	0	0	25	False
260	260	260	C0795907	C4016770	CONOTRUNCAL ANOMALY FACE SYNDROME	CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	2576	2572	2572			1	3	100	0	0	0	1	False
261	261	261	C0035372	C1136249	Rett Syndrome	Mental Retardation, X-Linked	3467	14636	2434			4	0	70	2	0	4	24	True
262	262	262	C0018798	C0020626	Congenital Heart Defects	Hypoparathyroidism	147610	8473	2131			6	0	25	2	2	4	25	False
263	263	263	C0268301	C3489793	Reifenstein Syndrome	46,XY Sex Reversal 3	2462	4064	2010			7	0	81	0	0	0	12	False
264	264	264	C0013336	C0857439	Dwarfism	Pituitary hormone deficiency	17277	18247	1629			8	0	9	2	0	1	17	False
265	265	265	C0000768	C0009402	Congenital Abnormality	Colorectal Carcinoma	591498	201452	1491			5	0	0	2	2	11	25	False
266	266	266	C0000768	C0035334	Congenital Abnormality	Retinitis Pigmentosa	591498	10816	1408			6	0	13	2	2	13	25	False
267	267	267	C0027726	C0403397	Nephrotic Syndrome	Steroid-resistant nephrotic syndrome	21763	1278	1278			2	1	100	2	0	1	24	True
268	268	268	C0020443	C0241889	Hypercholesterolemia	Family history	42411	117019	1196			7	0	2	2	2	24	25	False
269	269	269	C0152200	C1849792	Achromatopsia	Achromatopsia 3	4390	1011	1011			1	1	100	0	0	0	17	True
270	270	270	C0018799	C0030567	Heart Diseases	Parkinson Disease	600000	73702	999			5	0	1	2	2	25	25	True
271	271	271	C0241889	C0494463	Family history	Alzheimer Disease, Late Onset	117019	98242	913			7	0	0	2	2	7	25	False
272	272	272	C0733682	C3536984	Hypophosphatemic Rickets, X-Linked Dominant	Vitamin D-Resistant Rickets, X-Linked	889	889	889			1	3	100	1	2	7	24	True
273	273	273	C0241889	C4229681	Family history	Increased risk of colorectal cancer	117019	11873	870			10	0	7	0	0	0	1	True
274	274	274	C0149871	C0398625	Deep Vein Thrombosis	Protein C Deficiency	82283	1973	777			9	0	39	0	0	0	24	True
275	275	275	C0029456	C0038015	Osteoporosis	Spondyloepiphyseal Dysplasia	81415	29077	769			8	0	2	2	0	2	17	True
276	276	276	C0206062	C0476273	Lung Diseases, Interstitial	Respiratory distress	60977	51307	727			3	0	1	2	2	11	25	False
277	277	277	C0006142	C2674950	Malignant neoplasm of breast	LUNG CANCER, SUSCEPTIBILITY TO	309961	5827	651			10	0	11	0	0	0	3	False
278	278	278	C0002878	C0271990	Anemia, Hemolytic	delta-Thalassemia	74976	660	593			5	0	89	0	0	0	24	True
279	279	279	C0000768	C0014859	Congenital Abnormality	Esophageal Neoplasms	591498	53754	415			7	0	0	2	0	11	24	False
280	280	280	C0549473	C1833921	Thyroid carcinoma	Familial medullary thyroid carcinoma	68555	398	398			1	1	100	2	0	6	24	True
281	281	281	C0006142	C0035412	Malignant neoplasm of breast	Rhabdomyosarcoma	309961	13631	393			6	0	2	2	0	5	25	True
282	282	282	C0268318	C3554241	Cholestasis of pregnancy	CHOLESTASIS, INTRAHEPATIC, OF PREGNANCY 3	2082	381	381			1	2	100	2	0	1	2	True
283	283	283	C1136249	C1845333	Mental Retardation, X-Linked	Mental Retardation, X-Linked 45	14636	380	380			1	4	100	0	0	0	3	True
284	284	284	C0029422	C0039743	Osteochondrodysplasias	Thanatophoric Dysplasia	28883	502	380			8	0	75	0	0	0	25	False
285	285	285	C0150312	C0158646	Present	Cleft palate with cleft lip	600000	15183	376			6	0	2	2	2	3	20	False
286	286	286	C0035334	C3714756	Retinitis Pigmentosa	Intellectual Disability	10816	97825	354			8	0	3	2	0	2	25	False
287	287	287	C0011860	C0346429	Diabetes Mellitus, Non-Insulin-Dependent	Multiple malignancy	142114	215327	354			8	0	0	2	0	3	20	False
288	288	288	C0007115	C0079744	Malignant neoplasm of thyroid	Diffuse Large B-Cell Lymphoma	67377	24275	329			9	0	1	2	0	15	24	True
289	289	289	C0009402	C1333991	Colorectal Carcinoma	Hereditary Non-Polyposis Colon Cancer Type 2	201452	516	324			6	0	62	2	0	4	24	True
290	290	290	C0035334	C0339527	Retinitis Pigmentosa	Leber Congenital Amaurosis	10816	931	321			6	0	34	2	2	7	25	True
291	291	291	C0004096	C0011860	Asthma	Diabetes Mellitus, Non-Insulin-Dependent	175845	142114	320			7	0	0	2	2	24	25	True
292	292	292	C0011860	C4016103	Diabetes Mellitus, Non-Insulin-Dependent	HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO	142114	5965	313			10	0	5	0	0	0	1	False
293	293	293	C0023467	C0221013	Leukemia, Myelocytic, Acute	Mastocytosis, Systemic	73162	2170	301			2	0	13	2	1	4	25	True
294	294	294	C0000768	C0001768	Congenital Abnormality	Agammaglobulinemia	591498	7575	283			6	0	3	2	2	6	25	False
295	295	295	C0011854	C0242383	Diabetes Mellitus, Insulin-Dependent	Age related macular degeneration	92179	29421	280			7	0	0	2	0	18	24	True
296	296	296	C0027819	C2751682	Neuroblastoma	NEUROBLASTOMA, SUSCEPTIBILITY TO, 2	39783	278	278			1	1	100	0	0	0	3	False
297	297	297	C0038015	C0241889	Spondyloepiphyseal Dysplasia	Family history	29077	117019	274			10	0	0	2	0	2	17	False
298	298	298	C0039373	C0751490	Tay-Sachs Disease	Infantile Sandhoff Disease	1787	711	271			4	0	38	2	0	1	6	True
299	299	299	C0011195	C3714756	Dejerine-Sottas Disease	Intellectual Disability	6822	97825	257			8	0	3	2	0	2	24	False
300	300	300	C0346429	C1336839	Multiple malignancy	Type 1 Papillary Renal Cell Carcinoma	215327	2737	252			7	0	9	0	0	0	5	True
301	301	301	C0035334	C3150808	Retinitis Pigmentosa	RETINITIS PIGMENTOSA 55	10816	249	249			2	2	100	0	0	0	2	True
302	302	302	C0000768	C0002768	Congenital Abnormality	Congenital Pain Insensitivity	591498	653	243			3	0	37	2	2	3	25	False
303	303	303	C0002312	C0271990	alpha-Thalassemia	delta-Thalassemia	7139	660	219			5	1	33	0	0	0	25	True
304	304	304	C0035309	C0206062	Retinal Diseases	Lung Diseases, Interstitial	134253	60977	211			6	0	0	2	2	14	25	True
305	305	305	C0026705	C0086647	Mucopolysaccharidosis II	Mucopolysaccharidosis Type IIIA	1323	889	209			4	1	23	2	2	2	25	True
306	306	306	C0031511	C0206734	Pheochromocytoma	Hemangioblastoma	21435	2166	197			2	0	9	2	0	2	25	True
307	307	307	C0162566	C0268323	Porphyria Cutanea Tarda	Familial porphyria cutanea tarda	2170	197	197			1	3	100	2	1	4	17	True
308	308	308	C2675487	C3714756	Mental Retardation, Autosomal Dominant 4	Intellectual Disability	299	97825	190			4	0	63	2	0	1	3	False
309	309	309	C0007193	C0021051	Cardiomyopathy, Dilated	Immunologic Deficiency Syndromes	21868	308948	184			8	0	0	2	0	10	25	True
310	310	310	C0007097	C0085390	Carcinoma	Li-Fraumeni Syndrome	600000	1216	180			8	0	14	2	2	6	24	False
311	311	311	C0029422	C0410529	Osteochondrodysplasias	Hypochondroplasia	28883	271	177			4	0	65	2	2	4	24	False
312	312	312	C0027746	C3496228	Nerve Degeneration	Leukodystrophy, Dysmyelinating, And Spastic Paraparesis With Or Without Dystonia	37741	18391	172			2	0	0	2	0	1	7	False
313	313	313	C1833970	C1860985	COLORECTAL CANCER, SOMATIC	GASTRIC CANCER, SOMATIC	2214	677	169			1	1	24	0	1	0	13	True
314	314	314	C0023467	C4016397	Leukemia, Myelocytic, Acute	CHRONIC MYELOID LEUKEMIA, RESISTANT TO IMATINIB	73162	1436	156			3	1	10	0	0	0	1	False
315	315	315	C0015523	C3203356	Factor XI Deficiency	Factor II deficiency	1316	6662	145			2	1	11	2	2	8	23	True
316	316	316	C0020443	C0040038	Hypercholesterolemia	Thromboembolism	42411	70934	144			7	0	0	2	2	24	25	False
317	317	317	C0025362	C1839082	Mental Retardation	MENTAL RETARDATION, X-LINKED 89	112283	143	141			1	2	98	0	0	0	3	True
318	318	318	C0019569	C3553943	Hirschsprung Disease	T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS	4704	168719	139			8	0	2	0	0	0	4	True
319	319	319	C0038015	C0410480	Spondyloepiphyseal Dysplasia	Avascular Necrosis of Femur Head	29077	8657	137			7	0	1	2	2	2	17	True
320	320	320	C0751435	C2673535	Hyperphenylalaninaemia	DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE	6755	238	137			10	0	57	0	0	0	21	True
321	321	321	C0751435	C2673535	Hyperphenylalaninaemia	DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE	6755	238	137			10	0	57	0	0	0	21	True
322	322	322	C0020676	C1291299	Hypothyroidism	Deficiency of iodide peroxidase	42860	429	134			9	0	31	0	0	0	22	True
323	323	323	C0018798	C1857586	Congenital Heart Defects	CONOTRUNCAL HEART MALFORMATIONS	147610	133	125			1	1	93	2	0	3	7	False
324	324	324	C0158981	C0878544	Neonatal diabetes mellitus	Cardiomyopathies	12461	89623	121			10	0	0	2	0	1	25	True
325	325	325	C0039870	C4016129	Thinness	LEANNESS, SUSCEPTIBILITY TO	7166	144	120			4	0	83	0	0	0	0	False
326	326	326	C0006142	C1168401	Malignant neoplasm of breast	Squamous cell carcinoma of the head and neck	309961	7214	119			6	0	1	2	2	4	25	True
327	327	327	C0241889	C0398625	Family history	Protein C Deficiency	117019	1973	114			9	0	5	0	0	0	25	False
328	328	328	C0009952	C0220669	Febrile Convulsions	Familial benign neonatal epilepsy	5067	570	97			9	0	17	2	0	3	25	True
329	329	329	C0037772	C0205711	Spastic Paraplegia	Pelizaeus-Merzbacher Disease	21054	617	94			8	0	15	2	0	4	24	True
330	330	330	C0030567	C1851920	Parkinson Disease	Dopa-Responsive Dystonia	73702	488	88			8	0	18	2	0	2	24	True
331	331	331	C0026850	C0079298	Muscular Dystrophy	Epidermolysis Bullosa Simplex	33784	826	83			8	0	10	2	0	4	25	True
332	332	332	C1839606	C1839874	Low-molecular-weight proteinuria	Low Molecular Weight Proteinuria with Hypercalciuria and Nephrocalcinosis	720	81	81			1	4	100	0	0	0	4	False
333	333	333	C0018099	C3536827	Gout	Glycogenosis with glucoaminophosphaturia	17120	6868	68			6	0	0	2	0	3	10	True
334	334	334	C0238261	C4016108	Lymphedema praecox	LYMPHEDEMA, HEREDITARY, I	59	13495	59			1	1	100	0	0	0	1	False
335	335	335	C0006142	C0020615	Malignant neoplasm of breast	Hypoglycemia	309961	45772	56			7	0	0	2	2	19	24	False
336	336	336	C0015503	C0149871	Factor VII Deficiency	Deep Vein Thrombosis	1829	82283	53			7	0	2	2	2	4	24	True
337	337	337	C0020676	C0022735	Hypothyroidism	Klinefelter Syndrome	42860	4232	51			6	0	1	2	2	25	24	True
338	338	338	C0039685	C0241889	Tetralogy of Fallot	Family history	11426	117019	50			9	0	0	2	0	8	25	False
339	339	339	C0021364	C0025322	Male infertility	Premature Menopause	45629	1866	50			8	0	2	2	0	10	25	True
340	340	340	C0029925	C0238462	Ovarian Carcinoma	Medullary carcinoma of thyroid	34444	7190	47			8	0	0	2	0	10	24	True
341	341	341	C0014547	C0027794	Epilepsies, Partial	Neural Tube Defects	22861	29820	47			7	0	0	2	0	5	25	False
342	342	342	C0014544	C0027126	Epilepsy	Myotonic Dystrophy	140074	6483	44			7	0	0	2	2	9	25	True
