CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	
C0027125	C0391957	Myotonia	idiopathic epilepsy	3315	3746	3			1	3
C0043346	C0220722	Xeroderma Pigmentosum	Cerebrooculofacioskeletal Syndrome 1	6100	4	3			1	2
C0343068	C3838057	Familial cold urticaria	crohn's disease susceptibility	582	2897	3			1	1
C0079541	C2699510	Holoprosencephaly	Split-Hand/Foot Malformation	2050	129	3			1	3
C0020445	C0149630	Hypercholesterolemia, Familial	Bicuspid aortic valve	8959	2810	3			1	1
C0009081	C0035334	Congenital clubfoot	Retinitis Pigmentosa	4141	10816	3			0	1
C0035334	C2674173	Retinitis Pigmentosa	Achondroplasia, Severe, With Developmental Delay And Acanthosis Nigricans	10816	2697	3			1	1
C0011860	C1846845	Diabetes Mellitus, Non-Insulin-Dependent	Early onset osteoarthritis	142114	698	3			1	1
C0020676	C0949595	Hypothyroidism	Gonadal Dysgenesis, 46,XX	42860	346	3			1	2
C0010278	C0857439	Craniosynostosis	Pituitary hormone deficiency	6837	18247	3			1	1
C0007193	C1835849	Cardiomyopathy, Dilated	Congenital Disorder Of Glycosylation, Type Im	21868	4	3			1	2
C0221055	C0344432	Paramyotonia Congenita	Ventricular tachycardia, polymorphic	6350	2184	3			1	1
C0021364	C0080024	Male infertility	Piebaldism	45629	334	3			1	2
C0795905	C2931832	Cantu syndrome	Hyperinsulinemic hypoglycemia, familial, 1	48	951	3			1	2
C0079295	C1449563	Epidermolysis Bullosa Herpetiformis Dowling-Meara	Cardiomyopathy, Familial Idiopathic	831	21940	3			1	1
C0010273	C2985437	Craniofacial Dysostosis	Null Allele	5697	9483	3			1	1
C0005684	C0031269	Malignant neoplasm of urinary bladder	Peutz-Jeghers Syndrome	59248	2377	3			1	3
C0268338	C1846845	Ehlers-Danlos Syndrome, Type IV	Early onset osteoarthritis	3717	698	3			1	1
C0039743	C3714756	Thanatophoric Dysplasia	Intellectual Disability	502	97825	3			1	1
C0007959	C4017284	Charcot-Marie-Tooth Disease	BLOOD GROUP--LUTHERAN NULL	4570	18234	3			1	1
C0220658	C4229681	Pfeiffer Syndrome	Increased risk of colorectal cancer	2199	11873	3			1	1
C0020640	C0030305	Inherited Factor II deficiency	Pancreatitis	1411	65210	3			1	1
C0242666	C3151465	Protein S Deficiency	PROTEIN Z DEFICIENCY	1682	90	3			0	3
C0158646	C3469522	Cleft palate with cleft lip	BREAST CANCER, SUSCEPTIBILITY TO	15183	12696	3			1	1
C0021655	C1969057	Insulin Resistance	Noonan Syndrome 5	113459	414	3			1	2
C0022603	C0029925	Seborrheic keratosis	Ovarian Carcinoma	1607	34444	3			1	3
C0011860	C1834877	Diabetes Mellitus, Non-Insulin-Dependent	HOLOPROSENCEPHALY 2	142114	691	3			1	1
C0001768	C0549473	Agammaglobulinemia	Thyroid carcinoma	7575	68555	3			1	1
C0024591	C3151464	Malignant hyperpyrexia due to anesthesia	ATRIAL FIBRILLATION, FAMILIAL, 10	6029	15668	3			1	1
C0004238	C1096063	Atrial Fibrillation	Drug Resistant Epilepsy	72805	4695	3			1	1
C0542519	C1136249	Congenital absence of kidney	Mental Retardation, X-Linked	666	14636	3			1	1
C0024236	C0340970	Lymphedema	Congenital neutropenia	14217	680	3			1	3
C0001623	C0004352	Adrenal gland hypofunction	Autistic Disorder	16254	21522	3			1	3
C0001193	C0004352	Apert syndrome	Autistic Disorder	1769	21522	3			1	1
C0004509	C0036341	Azoospermia	Schizophrenia	6203	134381	3			1	1
C1861862	C2985437	Cardiomyopathy, Familial Hypertrophic, 4	Null Allele	383	9483	3			1	2
C0393702	C1142166	Myoclonic Astatic Epilepsy	Brugada Syndrome	4919	4775	3			1	1
C0023976	C1839710	Long QT Syndrome	Infantile seizures	9236	3252	3			1	1
C0040517	C0751122	Gilles de la Tourette syndrome	Infantile Severe Myoclonic Epilepsy	4901	4923	3			1	1
C0027051	C1136249	Myocardial Infarction	Mental Retardation, X-Linked	234627	14636	3			1	1
C0010674	C3149149	Cystic Fibrosis	COLOSTRUM SECRETION	49380	6521	3			1	1
C0019569	C0235831	Hirschsprung Disease	Renal Cell Dysplasia	4704	602	3			1	3
C0004238	C1833056	Atrial Fibrillation	Obesity, early-onset	72805	1101	3			1	1
C0022340	C0342853	Late-Infantile Neuronal Ceroid Lipfuscinosis	Sialuria	1984	278	3			1	2
C0027125	C1720416	Myotonia	Episodic ataxia type 2	3315	235	3			1	2
C0011860	C3808069	Diabetes Mellitus, Non-Insulin-Dependent	Renal hypodysplasia	142114	102	3			1	2
C0030305	C0242383	Pancreatitis	Age related macular degeneration	65210	29421	3			1	1
C0027127	C0220669	Myotonia Congenita	Familial benign neonatal epilepsy	1128	570	3			1	1
C0019202	C0265971	Hepatolenticular Degeneration	Acrokeratosis Verruciformis of Hopf	5625	1929	3			1	1
C1866176	C3714756	EXUDATIVE VITREORETINOPATHY 4	Intellectual Disability	141	97825	3			1	2
C0005684	C0019569	Malignant neoplasm of urinary bladder	Hirschsprung Disease	59248	4704	3			1	3
C0035309	C2936783	Retinal Diseases	Colorectal cancer, hereditary nonpolyposis, type 1	134253	328	3			1	2
C0007465	C0265234	Cause of Death	Branchio-Oto-Renal Syndrome	152612	317	3			1	2
C0019562	C0235974	Von Hippel-Lindau Syndrome	Pancreatic carcinoma	4082	7018	3			1	1
C0242383	C0398777	Age related macular degeneration	Complement Factor H Deficiency	29421	42	3			1	2
C0001768	C0836924	Agammaglobulinemia	Thrombocytosis	7575	7671	3			1	3
C0035334	C4016457	Retinitis Pigmentosa	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 2A, SEVERE	10816	10	3			1	2
C0006267	C0266444	Bronchiectasis	Congenital absence of vas deferens	12588	85	3			1	2
C0027127	C1843140	Myotonia Congenita	SEIZURES, BENIGN FAMILIAL INFANTILE, 3	1128	570	3			1	1
C0019569	C0271097	Hirschsprung Disease	Usher Syndrome	4704	1202	3			1	3
C0021655	C0342482	Insulin Resistance	X-linked adrenal hypoplasia congenita	113459	1225	3			1	1
C0005586	C0162532	Bipolar Disorder	Variegate Porphyria	48102	383	3			1	2
C1855465	C2985437	STARGARDT DISEASE 1	Null Allele	253	9483	3			1	2
C0036341	C0339526	Schizophrenia	Autosomal recessive retinitis pigmentosa	134381	1150	3			1	1
C0011881	C0013264	Diabetic Nephropathy	Muscular Dystrophy, Duchenne	32324	10808	3			1	1
C0028326	C0035334	Noonan Syndrome	Retinitis Pigmentosa	2113	10816	3			1	1
C0085786	C0268338	Hamman-Rich syndrome	Ehlers-Danlos Syndrome, Type IV	42650	3717	3			1	1
C0004352	C2752009	Autistic Disorder	White matter lesion	21522	5168	3			1	1
C0030567	C1868681	Parkinson Disease	DYSTONIA 12	73702	40	3			1	2
C0011847	C0265216	Diabetes	X-linked hydrocephalus syndrome	600000	144	3			1	2
C0011860	C1858806	Diabetes Mellitus, Non-Insulin-Dependent	CONE-ROD DYSTROPHY 3	142114	365	3			1	2
C0004238	C0524528	Atrial Fibrillation	Pervasive Development Disorder	72805	30510	3			1	1
C0035334	C1864722	Retinitis Pigmentosa	Microphthalmia, Cataracts, and Iris Abnormalities	10816	87	3			1	2
C0524528	C3502809	Pervasive Development Disorder	Generalized Epilepsy with Febrile Seizures Plus	30510	218	3			1	2
C0007193	C0037772	Cardiomyopathy, Dilated	Spastic Paraplegia	21868	21054	3			1	1
C0002395	C0019061	Alzheimer's Disease	Hemolytic-Uremic Syndrome	139725	7975	3			1	1
C0086543	C2973725	Cataract	Pulmonary arterial hypertension	68182	19359	3			1	1
C0009402	C0016037	Colorectal Carcinoma	Fibrodysplasia Ossificans Progressiva	201452	2426	3			1	1
C0020459	C0795905	Hyperinsulinism	Cantu syndrome	81647	48	3			1	2
C0011053	C0220989	Deafness	Acquired partial lipodystrophy	39032	168	3			0	1
C0013336	C1279481	Dwarfism	X-Linked Combined Immunodeficiency Diseases	17277	1296	3			1	1
C0342384	C1846223	Idiopathic hypogonadotropic hypogonadism	Adrenal hypoplasia	337	6817	3			1	2
C0018798	C0162530	Congenital Heart Defects	Porphyria, Erythropoietic	147610	864	3			1	3
C0003873	C0162309	Rheumatoid Arthritis	Adrenoleukodystrophy	140008	2255	3			1	1
C0011860	C0220766	Diabetes Mellitus, Non-Insulin-Dependent	Congenital hypoplasia of adrenal gland	142114	572	3			1	3
C0028326	C0175701	Noonan Syndrome	Aarskog syndrome	2113	110	3			0	1
C0035334	C2751290	Retinitis Pigmentosa	CHOROIDAL DYSTROPHY, CENTRAL AREOLAR 2	10816	17	3			1	2
C0004352	C0271097	Autistic Disorder	Usher Syndrome	21522	1202	3			1	1
C0011860	C0158646	Diabetes Mellitus, Non-Insulin-Dependent	Cleft palate with cleft lip	142114	15183	3			1	1
C0004238	C0022735	Atrial Fibrillation	Klinefelter Syndrome	72805	4232	3			1	1
C0004352	C1845862	Autistic Disorder	Creatine deficiency, X-linked	21522	36	3			1	2
C0007193	C1704423	Cardiomyopathy, Dilated	Milroy Disease	21868	13572	3			1	1
C0011860	C0079541	Diabetes Mellitus, Non-Insulin-Dependent	Holoprosencephaly	142114	2050	3			1	1
C0007959	C4021133	Charcot-Marie-Tooth Disease	Left ventricular noncompaction cardiomyopathy	4570	1082	3			1	1
C0339527	C1850362	Leber Congenital Amaurosis	NIGHT BLINDNESS, CONGENITAL STATIONARY, TYPE 1B	931	88	3			1	2
C0005586	C0007959	Bipolar Disorder	Charcot-Marie-Tooth Disease	48102	4570	3			1	1
C0027726	C0079301	Nephrotic Syndrome	Junctional Epidermolysis Bullosa	21763	786	3			1	1
C0025202	C0220658	melanoma	Pfeiffer Syndrome	122636	2199	3			1	1
C0270726	C0686353	Alexander Disease	Muscular Dystrophies, Limb-Girdle	9784	1891	3			1	1
C0339527	C0542519	Leber Congenital Amaurosis	Congenital absence of kidney	931	666	3			1	1
C0002395	C1834558	Alzheimer's Disease	Myopathy, Centronuclear, Autosomal Dominant	139725	1244	3			1	1
C0001080	C0035334	Achondroplasia	Retinitis Pigmentosa	2697	10816	3			1	1
C0003076	C0018784	Aniridia	Sensorineural Hearing Loss	1493	29379	3			1	3
C0027794	C0751748	Neural Tube Defects	Nonketotic Hyperglycinemia	29820	405	3			1	2
C0007194	C0751202	Hypertrophic Cardiomyopathy	Cystathionine beta-Synthase Deficiency Disease	18881	2301	3			1	3
C0149521	C0268312	Pancreatitis, Chronic	Progressive intrahepatic cholestasis	20064	1170	3			1	3
C0018553	C0026850	Hamartoma Syndrome, Multiple	Muscular Dystrophy	1768	33784	3			1	1
C0018784	C0027341	Sensorineural Hearing Loss	Nail-Patella Syndrome	29379	572	3			0	1
C0003486	C0004352	Aortic Aneurysm	Autistic Disorder	60865	21522	3			1	3
C0024591	C0686353	Malignant hyperpyrexia due to anesthesia	Muscular Dystrophies, Limb-Girdle	6029	1891	3			1	1
C0036341	C0242666	Schizophrenia	Protein S Deficiency	134381	1682	3			1	1
C0023976	C0271097	Long QT Syndrome	Usher Syndrome	9236	1202	3			1	1
C0007193	C0079295	Cardiomyopathy, Dilated	Epidermolysis Bullosa Herpetiformis Dowling-Meara	21868	831	3			1	1
C0007194	C0019880	Hypertrophic Cardiomyopathy	Homocystinuria	18881	2160	3			1	3
C0020676	C0027341	Hypothyroidism	Nail-Patella Syndrome	42860	572	3			1	1
C0339527	C1832200	Leber Congenital Amaurosis	Peroxisome biogenesis disorders	931	219	3			1	2
C0025202	C0152171	melanoma	Idiopathic pulmonary hypertension	122636	4458	3			1	1
C0015503	C0038015	Factor VII Deficiency	Spondyloepiphyseal Dysplasia	1829	29077	3			1	1
C0035334	C1850386	Retinitis Pigmentosa	GIANT AXONAL NEUROPATHY 1	10816	259	3			1	2
C1142166	C3714756	Brugada Syndrome	Intellectual Disability	4775	97825	3			1	1
C0026850	C1567741	Muscular Dystrophy	Alport Syndrome	33784	2387	3			1	1
C0007194	C3203102	Hypertrophic Cardiomyopathy	Idiopathic pulmonary arterial hypertension	18881	3570	3			1	3
C0018995	C0037772	Hemochromatosis	Spastic Paraplegia	10363	21054	3			1	1
C0004352	C1631597	Autistic Disorder	VENTRICULAR TACHYCARDIA, CATECHOLAMINERGIC POLYMORPHIC, 1	21522	282	3			1	2
C0035334	C0686353	Retinitis Pigmentosa	Muscular Dystrophies, Limb-Girdle	10816	1891	3			1	1
C0004352	C0017097	Autistic Disorder	Gardner Syndrome	21522	1834	3			1	1
C0009402	C0268312	Colorectal Carcinoma	Progressive intrahepatic cholestasis	201452	1170	3			1	1
C0038015	C0339527	Spondyloepiphyseal Dysplasia	Leber Congenital Amaurosis	29077	931	3			1	1
C0025202	C0028326	melanoma	Noonan Syndrome	122636	2113	3			1	1
C0024796	C0524528	Marfan Syndrome	Pervasive Development Disorder	7116	30510	3			1	3
C0004352	C0035335	Autistic Disorder	Retinoblastoma	21522	21336	3			1	1
C0004352	C0009402	Autistic Disorder	Colorectal Carcinoma	21522	201452	3			1	1
C0003076	C0339527	Aniridia	Leber Congenital Amaurosis	1493	931	3			1	1
C0008533	C0038015	Hemophilia B	Spondyloepiphyseal Dysplasia	4899	29077	3			1	1
C0010674	C0270912	Cystic Fibrosis	Charcot-Marie-Tooth Disease, Type Ib	49380	4570	3			1	1
C0339510	C0339527	Vitelliform Macular Dystrophy	Leber Congenital Amaurosis	497	931	3			1	2
C0024591	C0035334	Malignant hyperpyrexia due to anesthesia	Retinitis Pigmentosa	6029	10816	3			0	1
C0010674	C0018553	Cystic Fibrosis	Hamartoma Syndrome, Multiple	49380	1768	3			1	1
C0018203	C0162309	Chronic granulomatous disease	Adrenoleukodystrophy	7233	2255	3			1	3
C0268338	C1567742	Ehlers-Danlos Syndrome, Type IV	Alport Syndrome, X-Linked	3717	2064	2			1	1
C0268362	C1567741	Osteogenesis imperfecta type III	Alport Syndrome	492	2387	2			1	2
C0206157	C1834336	Myopathies, Nemaline	Nemaline myopathy 3	581	3	2			0	3
C0162309	C0271093	Adrenoleukodystrophy	Stargardt's disease	2255	268	2			1	2
C0020459	C0162309	Hyperinsulinism	Adrenoleukodystrophy	81647	2255	2			1	3
C0268595	C3887523	Glutaric aciduria, type 1	Very long chain acyl-CoA dehydrogenase deficiency	338	265	2			1	2
C0033847	C0271093	Pseudoxanthoma Elasticum	Stargardt's disease	1837	268	2			1	2
C0029434	C0265253	Osteogenesis Imperfecta	Stickler syndrome	5398	344	2			1	3
C0010674	C2931832	Cystic Fibrosis	Hyperinsulinemic hypoglycemia, familial, 1	49380	951	2			1	3
C1142166	C3502809	Brugada Syndrome	Generalized Epilepsy with Febrile Seizures Plus	4775	218	2			1	2
C0268575	C0268595	Isovaleryl-CoA dehydrogenase deficiency	Glutaric aciduria, type 1	43	338	2			0	3
C0265253	C1567741	Stickler syndrome	Alport Syndrome	344	2387	2			1	2
C0752166	C1858054	Bardet-Biedl Syndrome	BARDET-BIEDL SYNDROME 6	1122	2	2			0	2
C0023931	C0265253	Lobstein's Disease	Stickler syndrome	5402	344	2			1	2
C0002768	C0019569	Congenital Pain Insensitivity	Hirschsprung Disease	653	4704	2			1	3
C0162359	C0398689	Christ-Siemens-Touraine syndrome	Hyper-IgM Immunodeficiency Syndrome, Type 1	230	55	2			1	2
C0398777	C2749604	Complement Factor H Deficiency	HEMOLYTIC UREMIC SYNDROME, ATYPICAL, SUSCEPTIBILITY TO, 1	42	43	2			0	1
C0220668	C0241889	Congenital contractural arachnodactyly	Family history	136	117019	2			1	2
C0018995	C0162809	Hemochromatosis	Kallmann Syndrome	10363	855	2			1	1
C0751882	C1850792	Myasthenic Syndromes, Congenital	Congenital myasthenic syndrome ib	621	2	2			0	3
C0010273	C0410529	Craniofacial Dysostosis	Hypochondroplasia	5697	271	2			1	2
C0543888	C1848137	Epileptic encephalopathy	EPILEPSY, FEMALE-RESTRICTED, WITH MENTAL RETARDATION	113136	2	2			1	2
C0018995	C1563720	Hemochromatosis	Kallmann Syndrome 2	10363	855	2			1	1
C0079295	C0270726	Epidermolysis Bullosa Herpetiformis Dowling-Meara	Alexander Disease	831	9784	2			1	1
C0001768	C0039445	Agammaglobulinemia	Hereditary hemorrhagic telangiectasia	7575	3641	2			1	1
C0010674	C3888018	Cystic Fibrosis	Congenital Hyperinsulinism	49380	951	2			1	3
C0020074	C0152171	HSAN Type IV	Idiopathic pulmonary hypertension	2026	4458	2			1	1
C0268547	C0596122	Argininosuccinic Aciduria	arginosuccinic aciduria	265	6	2			0	1
C0857439	C2751608	Pituitary hormone deficiency	Pituitary Hormone Deficiency, Combined, 1	18247	2	2			0	2
C0013575	C0398689	Ectodermal Dysplasia	Hyper-IgM Immunodeficiency Syndrome, Type 1	5832	55	2			1	2
C0013720	C1567742	Ehlers-Danlos Syndrome	Alport Syndrome, X-Linked	3717	2064	2			1	1
C0020598	C1832648	Hypocalcemia	Hypoparathyroidism familial isolated	14799	4	2			1	2
C0031269	C0376358	Peutz-Jeghers Syndrome	Malignant neoplasm of prostate	2377	120279	2			1	3
C0079298	C0270726	Epidermolysis Bullosa Simplex	Alexander Disease	826	9784	2			1	1
C0268600	C1859499	3-methylcrotonyl CoA carboxylase 1 deficiency	3-methylcrotonyl CoA carboxylase 2 deficiency	21	3	2			0	2
C0018553	C0028326	Hamartoma Syndrome, Multiple	Noonan Syndrome	1768	2113	2			1	1
C0006142	C0152171	Malignant neoplasm of breast	Idiopathic pulmonary hypertension	309961	4458	2			1	1
C0432252	C1866176	Osteoporosis with pseudoglioma	EXUDATIVE VITREORETINOPATHY 4	118	141	2			1	2
C0010278	C1563720	Craniosynostosis	Kallmann Syndrome 2	6837	855	2			1	1
C0342788	C0473219	Renal carnitine transport defect	Renal hypouricemia	218	179	2			0	3
C0006142	C0020074	Malignant neoplasm of breast	HSAN Type IV	309961	2026	2			1	1
C0079299	C0270726	Epidermolysis Bullosa Simplex Kobner	Alexander Disease	826	9784	2			1	1
C0268338	C2020284	Ehlers-Danlos Syndrome, Type IV	Stickler syndrome, type 1	3717	54	2			1	2
C0035334	C0085280	Retinitis Pigmentosa	Alagille Syndrome	10816	886	2			1	1
C0019569	C0035334	Hirschsprung Disease	Retinitis Pigmentosa	4704	10816	2			1	1
C0031269	C1833921	Peutz-Jeghers Syndrome	Familial medullary thyroid carcinoma	2377	398	2			1	3
C0037772	C0271093	Spastic Paraplegia	Stargardt's disease	21054	268	2			1	2
C0010278	C0162809	Craniosynostosis	Kallmann Syndrome	6837	855	2			1	1
C0043346	C3714908	Xeroderma Pigmentosum	A - answer to question	6100	19409	2			1	1
