Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Percent Common Papers
2191	C1860985	C4016282	"GASTRIC CANCER, SOMATIC"	"BREAST CANCER, SOMATIC"	677	2539	98			14
5366	C2673196	C4015861	LIPOPROTEIN GLOMERULOPATHY	"HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2"	118	84	10			11
4555	C0339526	C3151202	Autosomal recessive retinitis pigmentosa	LEBER CONGENITAL AMAUROSIS 8	1150	129	16			12
4592	C0032339	C0265308	Rothmund-Thomson syndrome	Baller-Gerold syndrome	684	65	16			24
9351	C0431376	C3836730	Cobblestone Lissencephaly	muscular dystrophy - dystroglycanopathy - congenital with intellectual disabilities	202	11	2			18
3293	C0268615	C4017062	"5,10-Methylenetetrahydrofolate reductase deficiency"	HOMOCYSTINURIA DUE TO MTHFR DEFICIENCY	164	129	37			28
2816	C0271093	C0854723	Stargardt's disease	Retinal Dystrophies	268	9449	55			20
4898	C1321551	C2697932	Shprintzen-Goldberg syndrome	Loeys-Dietz Syndrome	59	451	13			22
801	C0002312	C3890413	alpha-Thalassemia	HEMOGLOBIN I PHENOTYPE	7139	3633	694			19
1787	C0025269	C1833929	Multiple Endocrine Neoplasia Type 2b	"THYROID CARCINOMA, SPORADIC MEDULLARY"	813	948	150			18
9988	C0268338	C1858084	"Ehlers-Danlos Syndrome, Type IV"	"STICKLER SYNDROME, TYPE II"	3717	7	1			14
959	C0032580	C4228834	Adenomatous Polyposis Coli	"Colorectal adenomas, multiple"	8907	1688	496			29
10932	C0265235	C1858084	Marshall syndrome	"STICKLER SYNDROME, TYPE II"	58	7	1			14
6093	C1838163	C4016725	OSLER-RENDU-WEBER SYNDROME 2	"TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE II"	36	233	7			19
1109	C0236642	C0750901	Pick Disease of the Brain	"Alzheimer Disease, Early Onset"	1447	98242	374			25
996	C0009402	C0031269	Colorectal Carcinoma	Peutz-Jeghers Syndrome	201452	2377	453			19
