CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence
C2931833	C3888018	"Hyperinsulinemic hypoglycemia, familial, 2"	Congenital Hyperinsulinism	951	951	951	0	1
C1864903	C3888018	Hyperinsulinemic hypoglycemia	Congenital Hyperinsulinism	1842	951	951	0	1
C0149871	C0241889	Deep Vein Thrombosis	Family history	82283	117019	950	0	1
C0002736	C4016314	Amyotrophic Lateral Sclerosis	"AMYOTROPHIC LATERAL SCLEROSIS, SUSCEPTIBILITY TO"	24280	947	947	0	1
C0007103	C0029925	Malignant neoplasm of endometrium	Ovarian Carcinoma	12195	34444	947	0	3
C0007115	C0007134	Malignant neoplasm of thyroid	Renal Cell Carcinoma	67377	47304	942	0	3
C0017638	C2750850	Glioma	GLIOMA SUSCEPTIBILITY 1	87189	939	939	0	1
C0025268	C0238462	Multiple Endocrine Neoplasia Type 2a	Medullary carcinoma of thyroid	1655	7190	938	0	1
C0007959	C1408181	Charcot-Marie-Tooth Disease	Neuropathy (motor and sensory)	4570	5798	937	1	2
C0270912	C1408181	"Charcot-Marie-Tooth Disease, Type Ib"	Neuropathy (motor and sensory)	4570	5798	937	1	2
C0002994	C0019243	Angioedema	"Angioedemas, Hereditary"	7733	933	933	0	1
C0011053	C0035334	Deafness	Retinitis Pigmentosa	39032	10816	929	0	1
C0004352	C0014544	Autistic Disorder	Epilepsy	21522	140074	926	1	3
C0006142	C0017636	Malignant neoplasm of breast	Glioblastoma	309961	35054	924	1	3
C0019562	C0206734	Von Hippel-Lindau Syndrome	Hemangioblastoma	4082	2166	923	1	2
C0000768	C0007115	Congenital Abnormality	Malignant neoplasm of thyroid	591498	67377	922	1	3
C0038868	C0393570	Progressive supranuclear palsy	Corticobasal degeneration	4011	1556	919	1	2
C0010674	C0030305	Cystic Fibrosis	Pancreatitis	49380	65210	918	0	3
C1302401	C3272841	Adenoma of large intestine	MUTYH-Associate Polyposis	3679	18037	917	1	2
C0021655	C2239176	Insulin Resistance	Liver carcinoma	113459	130028	914	1	1
C0241889	C0750901	Family history	"Alzheimer Disease, Early Onset"	117019	98242	913	1	1
C0006142	C0152018	Malignant neoplasm of breast	Esophageal carcinoma	309961	33747	913	0	3
C0241889	C0494463	Family history	"Alzheimer Disease, Late Onset"	117019	98242	913	1	1
C0549463	C3552634	X-Linked Lymphoproliferative Disorder	LYMPHOPROLIFERATIVE SYNDROME 1	340694	1282	911	0	3
C0206734	C1332900	Hemangioblastoma	Cerebellar hemangioblastoma	2166	907	907	0	1
C3807409	C4016383	Low LDL cholesterol	"OBESITY, ASSOCIATION WITH"	39387	42427	905	1	2
C0005684	C0007847	Malignant neoplasm of urinary bladder	Malignant tumor of cervix	59248	36547	900	0	2
C0007820	C3279690	Cerebrovascular Disorders	MOYAMOYA DISEASE 5	344998	1034	898	1	2
C0238462	C1833929	Medullary carcinoma of thyroid	"THYROID CARCINOMA, SPORADIC MEDULLARY"	7190	948	898	0	2
C0007194	C0398794	Hypertrophic Cardiomyopathy	Hypopigmentation-immunodeficiency disease	18881	600000	892	1	2
C0011195	C4016028	Dejerine-Sottas Disease	"DEJERINE-SOTTAS NEUROPATHY, AUTOSOMAL DOMINANT"	6822	892	891	0	1
C0011195	C4016264	Dejerine-Sottas Disease	"DEJERINE-SOTTAS SYNDROME, AUTOSOMAL DOMINANT"	6822	891	890	0	1
C0011860	C0878544	"Diabetes Mellitus, Non-Insulin-Dependent"	Cardiomyopathies	142114	89623	890	1	1
C2363065	C3536983	Vitamin D-resistant rickets	Familial Hypophosphatemic Rickets	1638	889	889	0	1
C0733682	C1704375	"Hypophosphatemic Rickets, X-Linked Dominant"	Hypophosphatemic Rickets	889	2522	889	0	1
C0733682	C3536984	"Hypophosphatemic Rickets, X-Linked Dominant"	"Vitamin D-Resistant Rickets, X-Linked"	889	889	889	0	1
C1704375	C3536984	Hypophosphatemic Rickets	"Vitamin D-Resistant Rickets, X-Linked"	2522	889	889	0	1
C0007115	C1833929	Malignant neoplasm of thyroid	"THYROID CARCINOMA, SPORADIC MEDULLARY"	67377	948	888	0	3
C0085280	C1956125	Alagille Syndrome	Alagille Syndrome 1	886	886	886	0	1
C1857761	C1956125	Alagille Syndrome 2	Alagille Syndrome 1	886	886	886	0	1
C0085280	C1857761	Alagille Syndrome	Alagille Syndrome 2	886	886	886	0	1
C0007102	C0024305	Malignant tumor of colon	"Lymphoma, Non-Hodgkin"	85229	104075	881	0	3
C0024623	C0398794	Malignant neoplasm of stomach	Hypopigmentation-immunodeficiency disease	103330	600000	880	1	1
C0004238	C0007193	Atrial Fibrillation	"Cardiomyopathy, Dilated"	72805	21868	876	1	3
C0020597	C1862596	Hypobetalipoproteinemias	Familial hypobetalipoproteinemia	875	924	875	0	1
C0241889	C4229681	Family history	Increased risk of colorectal cancer	117019	11873	870	1	2
C0029456	C0241889	Osteoporosis	Family history	81415	117019	867	1	2
C0018799	C0206762	Heart Diseases	"Limb Deformities, Congenital"	600000	23025	866	1	3
C0001768	C0221026	Agammaglobulinemia	X-linked agammaglobulinemia	7575	865	865	0	1
C0221026	C4016473	X-linked agammaglobulinemia	"HYPOAGAMMAGLOBULINEMIA, X-LINKED"	865	31425	860	0	1
C0002878	C0011849	"Anemia, Hemolytic"	Diabetes Mellitus	74976	454011	859	1	3
C0162809	C1563720	Kallmann Syndrome	Kallmann Syndrome 2	855	855	855	0	1
C0162809	C1563719	Kallmann Syndrome	Kallmann Syndrome 1	855	855	855	0	1
C0151516	C0749420	Thyroid Hypoplasia	Thyroid Agenesis	1122	1000	852	0	1
C0150312	C0265950	Present	Venous malformation	600000	32747	851	1	2
C0026850	C0027121	Muscular Dystrophy	Myositis	33784	21333	850	0	3
C0040034	C3853779	Thrombocytopenia	Neonatal Alloimmune Thrombocytopenia	70120	850	850	0	1
C0085131	C0268271	Gangliosidosis GM1	"Gangliosidosis, Generalized GM1, Type 1"	849	849	849	0	1
C0085131	C0268273	Gangliosidosis GM1	"Gangliosidosis, Generalized GM1, Type 3"	849	849	849	0	1
C0085131	C0268272	Gangliosidosis GM1	"Gangliosidosis, Generalized GM1, Type 2"	849	849	849	0	1
C0268271	C0268273	"Gangliosidosis, Generalized GM1, Type 1"	"Gangliosidosis, Generalized GM1, Type 3"	849	849	849	0	1
C0268271	C0268272	"Gangliosidosis, Generalized GM1, Type 1"	"Gangliosidosis, Generalized GM1, Type 2"	849	849	849	0	1
C0005283	C4017462	beta Thalassemia	HEMOGLOBIN STANLEYVILLE-I PHENOTYPE	14284	3633	849	1	2
C0005283	C4284317	beta Thalassemia	HEMOGLOBIN MALHACEN PHENOTYPE	14284	3633	849	1	2
C0149931	C0270862	Migraine Disorders	Hemiplegic migraine	28644	999	849	0	3
C0005283	C3890413	beta Thalassemia	HEMOGLOBIN I PHENOTYPE	14284	3633	849	1	2
C0268272	C0268273	"Gangliosidosis, Generalized GM1, Type 2"	"Gangliosidosis, Generalized GM1, Type 3"	849	849	849	0	1
C0241889	C3714756	Family history	Intellectual Disability	117019	97825	849	1	1
C0042514	C1142166	"Tachycardia, Ventricular"	Brugada Syndrome	37860	4775	846	1	2
C0004096	C0021390	Asthma	Inflammatory Bowel Diseases	175845	84428	836	1	1
C0032580	C1302401	Adenomatous Polyposis Coli	Adenoma of large intestine	8907	3679	834	1	2
C0013336	C0206762	Dwarfism	"Limb Deformities, Congenital"	17277	23025	831	0	3
C0152200	C1841721	Achromatopsia	ACHROMATOPSIA 4	4390	829	829	0	1
C0006142	C0023467	Malignant neoplasm of breast	"Leukemia, Myelocytic, Acute"	309961	73162	828	1	3
C0079583	C0239849	"Ichthyosiform Erythroderma, Congenital"	Harlequin Fetus	1715	1126	827	0	3
C0004238	C0007194	Atrial Fibrillation	Hypertrophic Cardiomyopathy	72805	18881	827	1	3
C0079298	C0080333	Epidermolysis Bullosa Simplex	Weber-Cockayne Syndrome	826	831	826	0	1
C0079295	C0079298	Epidermolysis Bullosa Herpetiformis Dowling-Meara	Epidermolysis Bullosa Simplex	831	826	826	0	1
C0079298	C0079299	Epidermolysis Bullosa Simplex	Epidermolysis Bullosa Simplex Kobner	826	826	826	0	1
C0079299	C0080333	Epidermolysis Bullosa Simplex Kobner	Weber-Cockayne Syndrome	826	831	826	0	1
C0079295	C0080333	Epidermolysis Bullosa Herpetiformis Dowling-Meara	Weber-Cockayne Syndrome	831	831	826	0	1
C0079295	C0079299	Epidermolysis Bullosa Herpetiformis Dowling-Meara	Epidermolysis Bullosa Simplex Kobner	831	826	826	0	1
C0010481	C0028754	Cushing Syndrome	Obesity	12803	294455	822	0	3
C0032463	C3281125	Polycythemia Vera	THROMBOCYTHEMIA 3	7725	3034	820	1	2
C0178703	C2678439	Hypertrophic osteoarthropathy	CRANIOOSTEOARTHROPATHY	2605	820	820	0	1
C0242383	C0854723	Age related macular degeneration	Retinal Dystrophies	29421	9449	820	1	3
C0007785	C0340643	Cerebral Infarction	Dissection of aorta	46898	24314	819	1	3
C0014804	C0014805	Erythromelalgia	Primary Erythermalgia	818	825	818	0	1
C0011847	C4016103	Diabetes	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	600000	5965	817	1	2
C0085110	C0398686	Severe Combined Immunodeficiency	Primary immune deficiency disorder	7990	23967	815	1	2
C0005684	C2239176	Malignant neoplasm of urinary bladder	Liver carcinoma	59248	130028	806	0	3
C0796237	C1136249	"Mental Retardation, X-Linked 30"	"Mental Retardation, X-Linked"	802	14636	802	0	1
C0000768	C0549473	Congenital Abnormality	Thyroid carcinoma	591498	68555	801	1	3
C0023449	C2748424	Acute lymphocytic leukemia	"LYMPHOBLASTIC LEUKEMIA, ACUTE, SUSCEPTIBILITY TO"	32328	995	800	0	2
C0751122	C4281785	Infantile Severe Myoclonic Epilepsy	Childhood Absence Epilepsy	4923	8098	799	0	3
C0007134	C0029925	Renal Cell Carcinoma	Ovarian Carcinoma	47304	34444	799	0	3
C0553720	C2674219	Spherocytosis	"SPHEROCYTOSIS, HEREDITARY, 2"	2848	796	796	0	1
C0011860	C0029456	"Diabetes Mellitus, Non-Insulin-Dependent"	Osteoporosis	142114	81415	796	1	1
C0022735	C3550478	Klinefelter Syndrome	HYPOGONADOTROPIC HYPOGONADISM 3 WITH OR WITHOUT ANOSMIA	4232	10033	790	1	2
C0000889	C0021655	Acanthosis Nigricans	Insulin Resistance	2320	113459	790	1	2
C0085215	C1969060	"Ovarian Failure, Premature"	Premature Ovarian Failure 5	3906	1141	788	0	2
C0079301	C0079683	Junctional Epidermolysis Bullosa	Herlitz Disease	786	1088	786	0	1
C0014527	C0079301	Epidermolysis Bullosa	Junctional Epidermolysis Bullosa	5786	786	786	0	1
C0009402	C3469522	Colorectal Carcinoma	"BREAST CANCER, SUSCEPTIBILITY TO"	201452	12696	786	1	2
C0006142	C0021655	Malignant neoplasm of breast	Insulin Resistance	309961	113459	785	1	1
C0751362	C3280266	Narcolepsy-Cataplexy Syndrome	NARCOLEPSY 7	5212	785	785	0	1
C0043459	C0282525	Zellweger Syndrome	"Adrenoleukodystrophy, Neonatal"	1068	4032	778	0	3
C0149871	C0398625	Deep Vein Thrombosis	Protein C Deficiency	82283	1973	777	1	2
C0006142	C1858438	Malignant neoplasm of breast	"COLORECTAL CANCER, SUSCEPTIBILITY TO"	309961	6432	777	1	2
C0346300	C0376358	Pituitary carcinoma	Malignant neoplasm of prostate	35065	120279	776	1	3
C0085682	C2676786	Hypophosphatemia	"Nephrolithiasis-Osteoporosis, Hypophosphatemic, 1"	5798	1006	775	1	2
C0035334	C0271097	Retinitis Pigmentosa	Usher Syndrome	10816	1202	775	0	1
C0013336	C0151686	Dwarfism	Growth retardation	17277	35291	774	0	3
C0010417	C0848558	Cryptorchidism	Hypospadias	9819	6633	771	0	3
C0029456	C0038015	Osteoporosis	Spondyloepiphyseal Dysplasia	81415	29077	769	1	3
C0376358	C2239176	Malignant neoplasm of prostate	Liver carcinoma	120279	130028	768	1	3
C0079744	C0242379	Diffuse Large B-Cell Lymphoma	Malignant neoplasm of lung	24275	261819	767	1	3
C0007785	C4016929	Cerebral Infarction	"CEREBRAL INFARCTION, SUSCEPTIBILITY TO"	46898	759	759	0	1
C0029925	C0549473	Ovarian Carcinoma	Thyroid carcinoma	34444	68555	759	1	3
C0162809	C0948896	Kallmann Syndrome	Primary hypogonadism	855	17394	759	0	3
C0162809	C3489396	Kallmann Syndrome	"Hypogonadism, Isolated Hypogonadotropic"	855	17394	759	0	3
C0025517	C1449563	Metabolic Diseases	"Cardiomyopathy, Familial Idiopathic"	600000	21940	758	1	2
C0007193	C0025517	"Cardiomyopathy, Dilated"	Metabolic Diseases	21868	600000	756	1	2
C0001768	C1274233	Agammaglobulinemia	T-lymphocyte immunodeficiency	7575	34915	755	1	2
C0007465	C0030567	Cause of Death	Parkinson Disease	152612	73702	755	1	2
C0010273	C0010278	Craniofacial Dysostosis	Craniosynostosis	5697	6837	754	0	3
C0009402	C0017638	Colorectal Carcinoma	Glioma	201452	87189	754	1	3
C0747102	C1969060	Ovarian failure	Premature Ovarian Failure 5	7254	1141	753	0	2
C0019562	C0031511	Von Hippel-Lindau Syndrome	Pheochromocytoma	4082	21435	751	1	2
C0086543	C3277059	Cataract	Congenital Bilateral Cataracts	68182	842	751	0	3
C0030443	C0238358	Familial Periodic Paralysis	Hypokalemic periodic paralysis	1564	1022	744	0	1
C0029925	C3469523	Ovarian Carcinoma	"OVARIAN CANCER, SUSCEPTIBILITY TO"	34444	4371	742	0	3
C0020619	C3665349	Hypogonadism	Secondary hypothyroidism	17394	42860	741	1	3
C0020619	C0020676	Hypogonadism	Hypothyroidism	17394	42860	741	0	3
C0020676	C0948896	Hypothyroidism	Primary hypogonadism	42860	17394	741	1	3
C0020676	C3489396	Hypothyroidism	"Hypogonadism, Isolated Hypogonadotropic"	42860	17394	741	1	2
C0023976	C1142166	Long QT Syndrome	Brugada Syndrome	9236	4775	740	0	1
C0023976	C1955837	Long QT Syndrome	Sudden Unexplained Nocturnal Death Syndrome (SUNDS)	9236	4785	740	1	2
C0017097	C0032580	Gardner Syndrome	Adenomatous Polyposis Coli	1834	8907	739	0	1
C0006142	C3469524	Malignant neoplasm of breast	"PROSTATE CANCER, SUSCEPTIBILITY TO"	309961	3698	738	1	2
C2674950	C3469522	"LUNG CANCER, SUSCEPTIBILITY TO"	"BREAST CANCER, SUSCEPTIBILITY TO"	5827	12696	737	0	2
C0007115	C0376358	Malignant neoplasm of thyroid	Malignant neoplasm of prostate	67377	120279	735	0	1
C0149871	C0242666	Deep Vein Thrombosis	Protein S Deficiency	82283	1682	734	1	2
C0021655	C0036341	Insulin Resistance	Schizophrenia	113459	134381	734	1	1
C0085859	C4017081	Polyglandular Type I Autoimmune Syndrome	"AUTOIMMUNE POLYENDOCRINOPATHY SYNDROME, TYPE I"	1195	816	733	0	2
C0376358	C0549473	Malignant neoplasm of prostate	Thyroid carcinoma	120279	68555	733	1	3
C0020459	C0158981	Hyperinsulinism	Neonatal diabetes mellitus	81647	12461	729	1	2
C0206062	C0476273	"Lung Diseases, Interstitial"	Respiratory distress	60977	51307	727	1	3
C0007102	C0007115	Malignant tumor of colon	Malignant neoplasm of thyroid	85229	67377	726	0	2
C0151313	C0398794	Sensory neuropathy	Hypopigmentation-immunodeficiency disease	12516	600000	725	1	2
C0020500	C0268164	Hyperoxaluria	"Primary hyperoxaluria, type I"	2684	721	721	0	1
C0026850	C0410189	Muscular Dystrophy	"Muscular Dystrophy, Emery-Dreifuss"	33784	721	721	0	1
C0023976	C3150733	Long QT Syndrome	LONG QT SYNDROME 13	9236	721	721	0	1
C0410189	C0410190	"Muscular Dystrophy, Emery-Dreifuss"	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	721	719	719	0	1
C0026850	C0410190	Muscular Dystrophy	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	33784	719	719	0	1
C0410189	C0751337	"Muscular Dystrophy, Emery-Dreifuss"	X-Linked Emery-Dreifuss Muscular Dystrophy	721	719	719	0	1
C0006142	C0021359	Malignant neoplasm of breast	Infertility	309961	89090	717	1	3
C0027726	C3280113	Nephrotic Syndrome	"NEPHROTIC SYNDROME, TYPE 5, WITH OR WITHOUT OCULAR ABNORMALITIES"	21763	12698	714	0	3
C0013575	C0020608	Ectodermal Dysplasia	Hypodontia	5832	4163	711	1	2
C0036161	C0751490	Sandhoff Disease	Infantile Sandhoff Disease	711	711	711	0	1
C0854723	C3151086	Retinal Dystrophies	Retinitis Pigmentosa 20	9449	971	709	1	2
C0238358	C0268445	Hypokalemic periodic paralysis	Normokalemic Periodic Paralysis	1022	1475	706	0	2
C0007102	C1837315	Malignant tumor of colon	"COLORECTAL CANCER, SUSCEPTIBILITY TO, 1"	85229	3581	705	1	2
C0149871	C0272375	Deep Vein Thrombosis	Antithrombin III Deficiency	82283	2016	703	1	2
C0021655	C0346429	Insulin Resistance	Multiple malignancy	113459	215327	697	1	1
C0018051	C0022735	Gonadal Dysgenesis	Klinefelter Syndrome	13319	4232	697	0	1
C0006142	C0027819	Malignant neoplasm of breast	Neuroblastoma	309961	39783	696	1	3
C0002312	C4284317	alpha-Thalassemia	HEMOGLOBIN MALHACEN PHENOTYPE	7139	3633	694	0	1
C0002312	C3890413	alpha-Thalassemia	HEMOGLOBIN I PHENOTYPE	7139	3633	694	0	1
C0079541	C1834877	Holoprosencephaly	HOLOPROSENCEPHALY 2	2050	691	691	0	1
C0155016	C0339537	"Color Blindness, Red-Green"	Cone monochromatism	4243	706	691	0	3
C0010054	C0085580	Coronary Arteriosclerosis	Essential Hypertension	165082	31557	689	1	3
C0011854	C0030305	"Diabetes Mellitus, Insulin-Dependent"	Pancreatitis	92179	65210	688	1	3
C0150312	C2973725	Present	Pulmonary arterial hypertension	600000	19359	687	1	2
C0014547	C0751122	"Epilepsies, Partial"	Infantile Severe Myoclonic Epilepsy	22861	4923	682	1	3
C0023461	C0024899	"Leukemia, Mast-Cell"	Mastocytosis	1772	6995	679	1	2
C0553692	C3281105	Brain hemorrhage	"HEMORRHAGE, INTRACEREBRAL, SUSCEPTIBILITY TO"	80495	776	678	0	3
C0013261	C0751083	Duane Retraction Syndrome	"Duane Retraction Syndrome, Type 2"	676	676	676	0	1
C0023195	C0342895	Lecithin Acyltransferase Deficiency	Fish-Eye Disease	729	1035	675	0	1
C0039445	C0265950	Hereditary hemorrhagic telangiectasia	Venous malformation	3641	32747	675	1	2
C0010054	C0162872	Coronary Arteriosclerosis	"Aortic Aneurysm, Thoracic"	165082	19227	673	0	1
C0035334	C0878544	Retinitis Pigmentosa	Cardiomyopathies	10816	89623	672	1	2
C0035334	C1838603	Retinitis Pigmentosa	Retinitis Pigmentosa 14	10816	671	671	0	1
C0011847	C1864903	Diabetes	Hyperinsulinemic hypoglycemia	600000	1842	671	1	2
C0017661	C0268743	IGA Glomerulonephritis	"Membranoproliferative Glomerulonephritis, Type II"	7609	3840	669	0	2
C0023467	C0032463	"Leukemia, Myelocytic, Acute"	Polycythemia Vera	73162	7725	669	0	1
C0017661	C0017662	IGA Glomerulonephritis	"Glomerulonephritis, Membranoproliferative"	7609	3840	669	0	1
C0002878	C0340968	"Anemia, Hemolytic"	Deficiency of pyruvate kinase	74976	1280	668	1	3
C0030567	C3160718	Parkinson Disease	"PARKINSON DISEASE, LATE-ONSET"	73702	663	663	0	1
C0000768	C0007134	Congenital Abnormality	Renal Cell Carcinoma	591498	47304	660	1	3
C0007115	C0029925	Malignant neoplasm of thyroid	Ovarian Carcinoma	67377	34444	659	0	3
C0004352	C1136249	Autistic Disorder	"Mental Retardation, X-Linked"	21522	14636	658	1	2
C0025268	C0031511	Multiple Endocrine Neoplasia Type 2a	Pheochromocytoma	1655	21435	656	0	3
C0037772	C0162871	Spastic Paraplegia	"Aortic Aneurysm, Abdominal"	21054	27199	654	0	1
C0006142	C2674950	Malignant neoplasm of breast	"LUNG CANCER, SUSCEPTIBILITY TO"	309961	5827	651	1	2
C0000768	C1563720	Congenital Abnormality	Kallmann Syndrome 2	591498	855	650	1	2
C0000768	C0162809	Congenital Abnormality	Kallmann Syndrome	591498	855	650	1	3
C3272841	C4228834	MUTYH-Associate Polyposis	"Colorectal adenomas, multiple"	18037	1688	649	1	2
C0035334	C1838702	Retinitis Pigmentosa	Retinitis Pigmentosa 13	10816	646	646	0	1
C0026850	C1449563	Muscular Dystrophy	"Cardiomyopathy, Familial Idiopathic"	33784	21940	646	1	3
C0011265	C0022336	Presenile dementia	Creutzfeldt-Jakob disease	98853	7921	645	0	1
C0007193	C0026850	"Cardiomyopathy, Dilated"	Muscular Dystrophy	21868	33784	642	1	3
C0007194	C1861864	Hypertrophic Cardiomyopathy	"Cardiomyopathy, Familial Hypertrophic, 2"	18881	641	641	0	1
C0221026	C0549463	X-linked agammaglobulinemia	X-Linked Lymphoproliferative Disorder	865	340694	641	0	2
C0278996	C3272841	Cancer of Head and Neck	MUTYH-Associate Polyposis	312581	18037	641	1	2
C0021359	C4016103	Infertility	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	89090	5965	640	1	2
C0079541	C1840529	Holoprosencephaly	HOLOPROSENCEPHALY 3	2050	638	638	0	1
C0021655	C0151686	Insulin Resistance	Growth retardation	113459	35291	638	1	3
C0017551	C0020433	Gilbert Disease	Hyperbilirubinemia	4873	29538	637	0	1
C0027726	C3151568	Nephrotic Syndrome	"NEPHROTIC SYNDROME, TYPE 4"	21763	635	635	0	1
C0023976	C0344432	Long QT Syndrome	"Ventricular tachycardia, polymorphic"	9236	2184	633	1	3
C0392707	C4016754	Atopy	"ASTHMA AND ATOPY, SUSCEPTIBILITY TO"	10321	631	631	0	1
C0004096	C4016754	Asthma	"ASTHMA AND ATOPY, SUSCEPTIBILITY TO"	175845	631	631	0	1
C0026850	C3714756	Muscular Dystrophy	Intellectual Disability	33784	97825	631	1	2
C0035334	C1833245	Retinitis Pigmentosa	Retinitis Pigmentosa 17	10816	630	630	0	1
C0007193	C0007196	"Cardiomyopathy, Dilated"	Restrictive cardiomyopathy	21868	1984	630	0	2
C0023461	C0023467	"Leukemia, Mast-Cell"	"Leukemia, Myelocytic, Acute"	1772	73162	628	0	2
C0268247	C3179455	"Niemann-Pick Disease, Type D"	"Niemann-Pick Disease, Type C1"	624	839	624	0	1
C0751882	C0751885	"Myasthenic Syndromes, Congenital"	"Myasthenic Syndromes, Congenital, Slow Channel"	621	621	621	0	1
C0242379	C1969389	Malignant neoplasm of lung	"NONSMALL CELL LUNG CANCER, SOMATIC"	261819	653	620	0	3
C0020502	C0025267	Hyperparathyroidism	Multiple Endocrine Neoplasia Type 1	29839	2414	618	0	1
C0000768	C2239176	Congenital Abnormality	Liver carcinoma	591498	130028	618	1	1
C0339309	C3551443	Congenital anomaly of iris	ANTERIOR SEGMENT ANOMALIES WITH OR WITHOUT CATARACT	2457	70133	617	1	2
C0205711	C0751915	Pelizaeus-Merzbacher Disease	"Pelizaeus-Merzbacher Disease, Atypical"	617	615	615	0	1
C0020757	C0079588	Ichthyoses	"Ichthyosis, X-Linked"	6100	614	614	0	1
C0010674	C0020542	Cystic Fibrosis	Pulmonary Hypertension	49380	59448	613	0	3
C0005283	C0271990	beta Thalassemia	delta-Thalassemia	14284	660	612	0	3
C0271990	C3841475	delta-Thalassemia	beta^+^ Thalassemia	660	14284	612	0	3
C0019562	C0030421	Von Hippel-Lindau Syndrome	Paraganglioma	4082	23102	612	1	2
C0020497	C0038015	Cortical Congenital Hyperostosis	Spondyloepiphyseal Dysplasia	629	29077	610	1	2
C0017495	C0162534	Gerstmann-Straussler-Scheinker Disease	Prion Diseases	649	18275	609	0	1
C0155626	C1832662	Acute myocardial infarction	"MYOCARDIAL INFARCTION, SUSCEPTIBILITY TO"	89185	2629	607	0	2
C0029422	C3714756	Osteochondrodysplasias	Intellectual Disability	28883	97825	605	1	2
C0857439	C3489787	Pituitary hormone deficiency	"Pituitary Hormone Deficiency, Combined, 3"	18247	603	603	0	1
C0242666	C0398625	Protein S Deficiency	Protein C Deficiency	1682	1973	598	0	3
C0009402	C0238198	Colorectal Carcinoma	Gastrointestinal Stromal Tumors	201452	8324	596	1	2
C0035334	C1832378	Retinitis Pigmentosa	Retinitis Pigmentosa 18	10816	594	594	0	1
C0033804	C0162809	Pseudohermaphroditism	Kallmann Syndrome	42724	855	594	1	3
C0002878	C0271990	"Anemia, Hemolytic"	delta-Thalassemia	74976	660	593	1	2
C0004114	C0006142	Astrocytoma	Malignant neoplasm of breast	37228	309961	591	1	3
C0018995	C3469186	Hemochromatosis	"HEMOCHROMATOSIS, TYPE 1"	10363	590	590	0	1
C0037772	C4017172	Spastic Paraplegia	SPASTIC PARAPLEGIA 44	21054	590	590	0	1
C0236642	C0338451	Pick Disease of the Brain	Frontotemporal dementia	1447	7582	588	0	1
C0020302	C0339573	Hydrophthalmos	"Glaucoma, Primary Open Angle"	592	16652	588	0	1
C1389018	C3280939	Atrioventricular Septal Defect	ATRIOVENTRICULAR SEPTAL DEFECT 5	1281	587	587	0	1
C0013720	C0268335	Ehlers-Danlos Syndrome	Ehlers-Danlos syndrome type 1	3717	585	585	0	1
C0268335	C0268338	Ehlers-Danlos syndrome type 1	"Ehlers-Danlos Syndrome, Type IV"	585	3717	585	0	1
C0028326	C1860991	Noonan Syndrome	NOONAN SYNDROME 3	2113	584	584	0	1
C0038868	C0338451	Progressive supranuclear palsy	Frontotemporal dementia	4011	7582	584	1	3
C0002395	C2937358	Alzheimer's Disease	Cerebral Hemorrhage	139725	56330	584	1	3
C0085584	C0205710	Encephalopathies	Alpers Syndrome	600000	2504	583	1	2
C0023467	C0242379	"Leukemia, Myelocytic, Acute"	Malignant neoplasm of lung	73162	261819	582	1	3
C0085584	C0162872	Encephalopathies	"Aortic Aneurysm, Thoracic"	600000	19227	582	1	2
C0019061	C0020538	Hemolytic-Uremic Syndrome	Hypertensive disease	7975	480148	580	1	2
C1366911	C2919945	Cerebral Cavernous Malformations 1	Cavernous Hemangioma of Brain	904	2429	579	0	1
C0001627	C2936858	Congenital adrenal hyperplasia	Congenital adrenal hyperplasia due to 21 hydroxylase deficiency	7843	578	578	0	1
C0085584	C0376358	Encephalopathies	Malignant neoplasm of prostate	600000	120279	574	1	1
C0035334	C0730290	Retinitis Pigmentosa	Cone dystrophy	10816	1346	574	1	2
C0220766	C1846223	Congenital hypoplasia of adrenal gland	Adrenal hypoplasia	572	6817	572	0	1
C0010674	C0149521	Cystic Fibrosis	"Pancreatitis, Chronic"	49380	20064	571	0	1
C0220669	C1843140	Familial benign neonatal epilepsy	"SEIZURES, BENIGN FAMILIAL INFANTILE, 3"	570	570	570	0	1
C0391957	C0751122	idiopathic epilepsy	Infantile Severe Myoclonic Epilepsy	3746	4923	570	0	2
C0014544	C1843140	Epilepsy	"SEIZURES, BENIGN FAMILIAL INFANTILE, 3"	140074	570	570	0	1
C0220669	C0270851	Familial benign neonatal epilepsy	Benign neonatal epilepsy	570	570	570	0	1
C0014544	C0270851	Epilepsy	Benign neonatal epilepsy	140074	570	570	0	1
C0270851	C1843140	Benign neonatal epilepsy	"SEIZURES, BENIGN FAMILIAL INFANTILE, 3"	570	570	570	0	1
C0004135	C0006142	Ataxia Telangiectasia	Malignant neoplasm of breast	9430	309961	567	1	2
C1868675	C3160718	"PARKINSON DISEASE 2, AUTOSOMAL RECESSIVE JUVENILE"	"PARKINSON DISEASE, LATE-ONSET"	73527	663	566	0	3
C0024796	C1260873	Marfan Syndrome	Aortic valve disorder	7116	21735	566	1	3
