	Unnamed: 0	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Target	Alogrithm Entry	User Entry	STD	different1	different2
189	189	C0039445	C0345893	Hereditary hemorrhagic telangiectasia	Juvenile polyposis syndrome	3641	217	27	4	4	6.25	2.87	True	True
190	190	C0006142	C1969537	Malignant neoplasm of breast	OVARIAN CANCER, SOMATIC	309961	1306	276	3	3	4.0	1.41	True	True
191	191	C0241889	C4017003	Family history	FH AFRIKANER 2 PHENOTYPE	117019	4	1	9	9	7.75	2.63	True	True
192	192	C0398621	C1835362	Hypoplasminogenemia	Lp(A) Deficiency, Congenital	53	8	1	6	6	5.25	1.71	True	True
193	193	C0020438	C0342345	Hypercalciuria	Hypoparathyroidism - autosomal dominant	3967	162	41	7	7	6.75	1.26	True	True
194	194	C0015499	C0019069	Factor V Deficiency	Hemophilia A	871	21082	213	2	2	5.0	0.82	True	False
195	195	C0431399	C1837713	Familial aplasia of the vermis	JOUBERT SYNDROME 3	213	159	46	5	5	4.5	1.73	True	True
196	196	C1869116	C1970474	ASTHMA, SUSCEPTIBILITY TO (finding)	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 4	360	7	1	1	1	2.25	0.96	True	True
197	197	C0282527	C1832200	Infantile Refsum Disease	Peroxisome biogenesis disorders	185	219	32	5	5	5.25	2.22	True	True
198	198	C0220710	C4017056	Medium-chain acyl-coenzyme A dehydrogenase deficiency	ISOVALERIC ACIDEMIA, TYPE I	438	26	3	6	8	6.25	1.5	True	True
199	199	C0268301	C2678098	Reifenstein Syndrome	Hypospadias 1, X-Linked	2462	42	7	3	3	5.75	1.5	True	True
200	200	C0086651	C4017253	Mucopolysaccharidosis, MPS-IV-A	MUCOPOLYSACCHARIDOSIS, TYPE VI, SEVERE	1260	115	15	3	3	3.0	0.82	True	True
201	201	C0026760	C0265253	Multiple Epiphyseal Dysplasia	Stickler syndrome	29049	344	38	10	10	7.25	2.22	True	True
202	202	C1843898	C4016383	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4	OBESITY, ASSOCIATION WITH	161	42427	44	4	4	3.5	1.0	True	True
203	203	C0026709	C0086647	Mucopolysaccharidosis VI	Mucopolysaccharidosis Type IIIA	681	889	101	3	3	3.0	0.82	True	True
204	204	C0017638	C0431109	Glioma	Choroid Plexus Carcinoma	87189	308	48	5	5	5.5	3.32	True	True
205	205	C1853710	C3159322	HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC	SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE	7	65	1	2	2	7.75	2.63	False	False
206	206	C0029434	C0264080	Osteogenesis Imperfecta	Juvenile osteoporosis	5398	144	36	5	4	6.75	2.87	True	True
207	207	C0917713	C4016477	Becker Muscular Dystrophy	INTERMEDIATE MUSCULAR DYSTROPHY	11109	393	108	2	2	3.0	0.0	True	True
208	208	C0022579	C0079153	Keratoderma	Hyperkeratosis, Epidermolytic	2901	578	128	4	4	3.75	1.26	True	True
209	209	C0175695	C0265210	Sotos' syndrome	Weaver syndrome	473	109	26	4	4	3.75	0.96	True	True
210	210	C0020608	C0265341	Hypodontia	Rieger syndrome	4163	308	34	9	9	7.25	2.5	True	True
211	211	C0007193	C3152137	Cardiomyopathy, Dilated	LEFT VENTRICULAR NONCOMPACTION 3	21868	405	80	5	5	4.0	1.83	True	True
212	212	C0015503	C0020640	Factor VII Deficiency	Inherited Factor II deficiency	1829	1411	176	2	2	2.75	0.96	True	True
213	213	C0431399	C1969053	Familial aplasia of the vermis	JOUBERT SYNDROME 7	213	75	22	4	4	3.75	1.5	True	True
214	214	C1850993	C2673946	Foveal Hypoplasia, Isolated	Foveal hypoplasia (finding)	12	152	3	2	2	2.25	0.5	True	True
215	215	C0017662	C0398777	Glomerulonephritis, Membranoproliferative	Complement Factor H Deficiency	3840	42	6	8	8	5.75	2.63	True	True
216	216	C0026705	C0026709	Mucopolysaccharidosis II	Mucopolysaccharidosis VI	1323	681	189	1	1	2.25	0.5	True	True
217	217	C0018798	C1840333	Congenital Heart Defects	Barakat syndrome	147610	34	4	10	10	8.25	2.87	True	True
218	218	C0039585	C2678098	Androgen-Insensitivity Syndrome	Hypospadias 1, X-Linked	2447	42	7	3	3	4.75	0.96	True	True
219	219	C0027127	C0238357	Myotonia Congenita	Hyperkalemic periodic paralysis	1128	380	91	5	8	3.5	0.58	False	False
220	220	C0026709	C0086651	Mucopolysaccharidosis VI	Mucopolysaccharidosis, MPS-IV-A	681	1260	119	2	3	3.0	0.82	True	True
221	221	C1836026	C3845231	PROGUANIL, POOR METABOLISM OF	Poor metabolizer	61	1006	14	3	3	3.0	0.0	True	True
222	222	C0220704	C1857586	Shprintzen syndrome	CONOTRUNCAL HEART MALFORMATIONS	2741	133	35	7	7	6.25	0.96	True	True
223	223	C2910227	C4314863	Multicystic kidney disease	Renal tract malformations	447	4169	74	5	5	5.0	1.41	True	True
224	224	C2609268	C4272382	Low phospholipid-associated cholelithiasis	progressive familial intrahepatic cholestasis type 2	36	138	4	6	6	5.0	2.16	True	True
225	225	C0001768	C4016473	Agammaglobulinemia	HYPOAGAMMAGLOBULINEMIA, X-LINKED	7575	31425	1252	5	5	5.0	2.58	True	True
226	226	C0040038	C0242666	Thromboembolism	Protein S Deficiency	70934	1682	441	6	6	5.75	1.5	True	True
227	227	C1857586	C4016770	CONOTRUNCAL HEART MALFORMATIONS	CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	133	2572	34	4	4	4.75	2.36	True	True
228	228	C0854723	C1855465	Retinal Dystrophies	STARGARDT DISEASE 1	9449	253	38	7	7	6.75	1.26	True	True
229	229	C0085390	C0346429	Li-Fraumeni Syndrome	Multiple malignancy	1216	215327	260	4	4	3.5	1.29	True	True
230	230	C0035828	C3150943	Romano-Ward Syndrome	Long Qt Syndrome 2	345	81	16	5	5	4.5	1.29	True	True
231	231	C0242343	C3489787	Panhypopituitarism	Pituitary Hormone Deficiency, Combined, 3	1599	603	155	4	4	3.75	0.5	True	True
232	232	C0221355	C3151356	Macrocephaly	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION	2264	112283	540	5	5	5.0	0.82	True	True
233	233	C0007194	C3150681	Hypertrophic Cardiomyopathy	CARDIOMYOPATHY, DILATED, 1R	18881	6	1	4	4	4.25	2.22	True	True
234	234	C1860985	C4016282	GASTRIC CANCER, SOMATIC	BREAST CANCER, SOMATIC	677	2539	98	2	2	5.75	1.71	True	False
235	235	C2673196	C4015861	LIPOPROTEIN GLOMERULOPATHY	HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2	118	84	10	2	2	7.25	1.26	False	False
236	236	C0339526	C3151202	Autosomal recessive retinitis pigmentosa	LEBER CONGENITAL AMAUROSIS 8	1150	129	16	6	6	6.0	0.82	True	True
237	237	C0032339	C0265308	Rothmund-Thomson syndrome	Baller-Gerold syndrome	684	65	16	7	7	7.5	1.29	True	True
238	238	C0431376	C3836730	Cobblestone Lissencephaly	muscular dystrophy - dystroglycanopathy - congenital with intellectual disabilities	202	11	2	9	9	7.5	2.38	True	True
239	239	C0268615	C4017062	5,10-Methylenetetrahydrofolate reductase deficiency	HOMOCYSTINURIA DUE TO MTHFR DEFICIENCY	164	129	37	4	4	3.75	1.5	True	True
240	240	C0271093	C0854723	Stargardt's disease	Retinal Dystrophies	268	9449	55	5	5	5.75	2.63	True	True
241	241	C1321551	C2697932	Shprintzen-Goldberg syndrome	Loeys-Dietz Syndrome	59	451	13	7	7	7.0	2.58	True	True
242	242	C0002312	C3890413	alpha-Thalassemia	HEMOGLOBIN I PHENOTYPE	7139	3633	694	2	2	3.5	1.29	True	True
243	243	C0025269	C1833929	Multiple Endocrine Neoplasia Type 2b	THYROID CARCINOMA, SPORADIC MEDULLARY	813	948	150	4	4	4.0	1.15	True	True
244	244	C0268338	C1858084	Ehlers-Danlos Syndrome, Type IV	STICKLER SYNDROME, TYPE II	3717	7	1	9	7	6.75	0.96	True	True
245	245	C0032580	C4228834	Adenomatous Polyposis Coli	Colorectal adenomas, multiple	8907	1688	496	5	5	4.0	1.83	True	True
246	246	C0265235	C1858084	Marshall syndrome	STICKLER SYNDROME, TYPE II	58	7	1	2	2	5.0	1.83	True	False
247	247	C1838163	C4016725	OSLER-RENDU-WEBER SYNDROME 2	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE II	36	233	7	3	3	3.25	1.71	True	True
248	248	C0236642	C0750901	Pick Disease of the Brain	Alzheimer Disease, Early Onset	1447	98242	374	6	6	5.25	1.89	True	True
249	249	C0009402	C0031269	Colorectal Carcinoma	Peutz-Jeghers Syndrome	201452	2377	453	7	7	6.25	3.3	True	True
