CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Name Relations	Paper Relations	Context Type	Concept Relations Type	Pct Common Relations	Num Available	Concept Relation	ID Relation	Num Relations
C3280345	C3469523	"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4"	"OVARIAN CANCER, SUSCEPTIBILITY TO"	153	4371	153											
C2750892	C4281785	"EPILEPSY, JUVENILE ABSENCE, SUSCEPTIBILITY TO, 1"	Childhood Absence Epilepsy	153	8098	153											
C0020473	C1837173	Hyperlipidemia	"CORONARY HEART DISEASE, SUSCEPTIBILITY TO, 5"	77353	2024	153											
C0006142	C3150659	Malignant neoplasm of breast	"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 3"	309961	158	153											
C0006142	C0151686	Malignant neoplasm of breast	Growth retardation	309961	35291	153											
C0035334	C0152200	Retinitis Pigmentosa	Achromatopsia	10816	4390	153											
C0265313	C1869114	Weill-Marchesani syndrome	"Weill-Marchesani Syndrome, Autosomal Recessive"	152	152	152											
C0220658	C3267076	Pfeiffer Syndrome	Familial scaphocephaly syndrome	2199	289	152											
C0150312	C0152171	Present	Idiopathic pulmonary hypertension	600000	4458	152											
C0010278	C0158646	Craniosynostosis	Cleft palate with cleft lip	6837	15183	151											
C0085110	C0150312	Severe Combined Immunodeficiency	Present	7990	600000	151											
C0007194	C4021133	Hypertrophic Cardiomyopathy	Left ventricular noncompaction cardiomyopathy	18881	1082	151											
C0006142	C0021364	Malignant neoplasm of breast	Male infertility	309961	45629	151											
C0020438	C0020626	Hypercalciuria	Hypoparathyroidism	3967	8473	150											
C0000768	C0031269	Congenital Abnormality	Peutz-Jeghers Syndrome	591498	2377	150											
C0021364	C0021655	Male infertility	Insulin Resistance	45629	113459	150											
C0025269	C1833929	Multiple Endocrine Neoplasia Type 2b	"THYROID CARCINOMA, SPORADIC MEDULLARY"	813	948	150											
C0006142	C3280345	Malignant neoplasm of breast	"BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 4"	309961	153	150											
C0242383	C1842475	Age related macular degeneration	Retinitis Pigmentosa 7	29421	1381	150											
C0025362	C0175695	Mental Retardation	Sotos' syndrome	112283	473	150											
C0013264	C3714756	"Muscular Dystrophy, Duchenne"	Intellectual Disability	10808	97825	149											
C0342384	C4016103	Idiopathic hypogonadotropic hypogonadism	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	337	5965	148											
C0003850	C0027707	Arteriosclerosis	"Nephritis, Interstitial"	168968	22264	148											
C0040034	C2677608	Thrombocytopenia	Thrombocytopenia 4	70120	148	148											
C0220711	C3887523	Long chain acyl-CoA dehydrogenase deficiency	Very long chain acyl-CoA dehydrogenase deficiency	173	265	148											
C1302401	C4228834	Adenoma of large intestine	"Colorectal adenomas, multiple"	3679	1688	148											
C3151411	C3714756	"MENTAL RETARDATION, AUTOSOMAL DOMINANT 6"	Intellectual Disability	228	97825	148											
C1321489	C1333991	Torre-Muir syndrome	Hereditary Non-Polyposis Colon Cancer Type 2	433	516	148											
C0026850	C1834674	Muscular Dystrophy	Bethlem myopathy	33784	170	148											
C0028754	C1859979	Obesity	Precocious puberty in males	294455	2767	148											
C1848199	C1848201	X-Linked Lissencephaly	Subcortical Band Heterotopia	217	257	147											
C0021364	C0936016	Male infertility	Testicular Feminization	45629	2842	147											
C1839811	C3489396	Short to normal stature	"Hypogonadism, Isolated Hypogonadotropic"	3703	17394	147											
C0004096	C0020459	Asthma	Hyperinsulinism	175845	81647	147											
C0023890	C0270726	Liver Cirrhosis	Alexander Disease	114125	9784	147											
C0025202	C1336839	melanoma	Type 1 Papillary Renal Cell Carcinoma	122636	2737	147											
C0004238	C0020459	Atrial Fibrillation	Hyperinsulinism	72805	81647	147											
C0025269	C1833921	Multiple Endocrine Neoplasia Type 2b	Familial medullary thyroid carcinoma	813	398	146											
C0041341	C1860707	Tuberous Sclerosis	TUBEROUS SCLEROSIS 2	9017	145	145											
C0410189	C2751807	"Muscular Dystrophy, Emery-Dreifuss"	Emery-Dreifuss Muscular Dystrophy 4	721	145	145											
C0026850	C2751807	Muscular Dystrophy	Emery-Dreifuss Muscular Dystrophy 4	33784	145	145											
C0002994	C2717906	Angioedema	Hereditary Angioedema Type I	7733	145	145											
C0015523	C3203356	Factor XI Deficiency	Factor II deficiency	1316	6662	145											
C0028754	C0745103	Obesity	Hyperlipoproteinemia Type IIa	294455	6782	144											
C0009402	C0018553	Colorectal Carcinoma	"Hamartoma Syndrome, Multiple"	201452	1768	144											
C0011849	C1864623	Diabetes Mellitus	"DIABETES MELLITUS, TRANSIENT NEONATAL, 3"	454011	144	144											
C0158981	C1864623	Neonatal diabetes mellitus	"DIABETES MELLITUS, TRANSIENT NEONATAL, 3"	12461	144	144											
C0029463	C0029925	Osteosarcoma	Ovarian Carcinoma	33353	34444	144											
C0020443	C0040038	Hypercholesterolemia	Thromboembolism	42411	70934	144											
C0003486	C0020443	Aortic Aneurysm	Hypercholesterolemia	60865	42411	143											
C1142166	C2348199	Brugada Syndrome	Short Qt Syndrome	4775	381	143											
C0023467	C0376358	"Leukemia, Myelocytic, Acute"	Malignant neoplasm of prostate	73162	120279	143											
C0238111	C1096063	Lennox-Gastaut syndrome	Drug Resistant Epilepsy	1285	4695	143											
C0431375	C1848201	Classical Lissencephaly	Subcortical Band Heterotopia	223	257	143											
C0543888	C0878544	Epileptic encephalopathy	Cardiomyopathies	113136	89623	143											
C0020443	C0149871	Hypercholesterolemia	Deep Vein Thrombosis	42411	82283	142											
C0007102	C0021655	Malignant tumor of colon	Insulin Resistance	85229	113459	142											
C0265950	C2239176	Venous malformation	Liver carcinoma	32747	130028	142											
C0004238	C3280777	Atrial Fibrillation	VENTRICULAR SEPTAL DEFECT 1	72805	8122	142											
C0010674	C0036202	Cystic Fibrosis	Sarcoidosis	49380	29232	142											
C1866176	C4072980	EXUDATIVE VITREORETINOPATHY 4	Exudative vitreoretinopathy	141	400	141											
C0025362	C1839082	Mental Retardation	"MENTAL RETARDATION, X-LINKED 89"	112283	143	141											
C0000768	C0238462	Congenital Abnormality	Medullary carcinoma of thyroid	591498	7190	141											
C0265221	C0431376	Walker-Warburg congenital muscular dystrophy	Cobblestone Lissencephaly	423	202	141											
C0005411	C0085280	Biliary Atresia	Alagille Syndrome	4757	886	141											
C0751122	C1096063	Infantile Severe Myoclonic Epilepsy	Drug Resistant Epilepsy	4923	4695	140											
C0010278	C0029422	Craniosynostosis	Osteochondrodysplasias	6837	28883	140											
C0025202	C0235974	melanoma	Pancreatic carcinoma	122636	7018	140											
C0220658	C3714756	Pfeiffer Syndrome	Intellectual Disability	2199	97825	140											
C0024796	C0038015	Marfan Syndrome	Spondyloepiphyseal Dysplasia	7116	29077	140											
C0035372	C0162635	Rett Syndrome	Angelman Syndrome	3467	1709	140											
C0026755	C0268581	Multiple Carboxylase Deficiency	Holocarboxylase Synthetase Deficiency	535	139	139											
C0019569	C3553943	Hirschsprung Disease	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	4704	168719	139											
C0162872	C1836635	"Aortic Aneurysm, Thoracic"	Loeys-Dietz Aortic Aneurysm Syndrome	19227	436	138											
C3489789	C4272382	"Cholestasis, Progressive Familial Intrahepatic, 2"	progressive familial intrahepatic cholestasis type 2	302	138	138											
C0162872	C2697932	"Aortic Aneurysm, Thoracic"	Loeys-Dietz Syndrome	19227	451	138											
C0008372	C4272382	Intrahepatic Cholestasis	progressive familial intrahepatic cholestasis type 2	15090	138	138											
C0268312	C4272382	Progressive intrahepatic cholestasis	progressive familial intrahepatic cholestasis type 2	1170	138	138											
C0027819	C0376358	Neuroblastoma	Malignant neoplasm of prostate	39783	120279	138											
C0236642	C0393570	Pick Disease of the Brain	Corticobasal degeneration	1447	1556	138											
C0026850	C2936332	Muscular Dystrophy	Alpha-Sarcoglycanopathies	33784	145	138											
C0031485	C2673535	Phenylketonurias	"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE"	6679	238	137											
C0751435	C2673535	Hyperphenylalaninaemia	"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE"	6755	238	137											
C0035334	C3280042	Retinitis Pigmentosa	RETINITIS PIGMENTOSA 62	10816	137	137											
C0038015	C0410480	Spondyloepiphyseal Dysplasia	Avascular Necrosis of Femur Head	29077	8657	137											
C0013336	C4083050	Dwarfism	Tooth agenesis	17277	12777	137											
C0751436	C2673535	"Hyperphenylalaninemia, Non-Phenylketonuric"	"DYSTONIA, DOPA-RESPONSIVE, WITH OR WITHOUT HYPERPHENYLALANINEMIA, AUTOSOMAL RECESSIVE"	6681	238	137											
C0017980	C3245525	"Glycosuria, Renal"	Familial renal glucosuria	1525	171	137											
C0019243	C2717906	"Angioedemas, Hereditary"	Hereditary Angioedema Type I	933	145	137											
C0003486	C0039685	Aortic Aneurysm	Tetralogy of Fallot	60865	11426	137											
C0162809	C4017071	Kallmann Syndrome	HYPOGONADOTROPIC HYPOGONADISM 3 WITH ANOSMIA	855	191	136											
C0339527	C3151192	Leber Congenital Amaurosis	LEBER CONGENITAL AMAUROSIS 7	931	136	136											
C1860752	C1861864	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 7"	"Cardiomyopathy, Familial Hypertrophic, 2"	232	641	136											
C0018799	C0027819	Heart Diseases	Neuroblastoma	600000	39783	136											
C0010674	C0028960	Cystic Fibrosis	Oligospermia	49380	6036	136											
C0878681	C1839606	Dent's disease	Low-molecular-weight proteinuria	17063	720	135											
C1860991	C2750732	NOONAN SYNDROME 3	Noonan Syndrome 6	584	369	135											
C0019569	C0150312	Hirschsprung Disease	Present	4704	600000	135											
C0028326	C1275081	Noonan Syndrome	Cardio-facio-cutaneous syndrome	2113	248	134											
C0020676	C1291299	Hypothyroidism	Deficiency of iodide peroxidase	42860	429	134											
C0339573	C1856439	"Glaucoma, Primary Open Angle"	"GLAUCOMA 3, PRIMARY CONGENITAL, A"	16652	402	134											
C1997614	C4016042	Thromboembolism of vein	"VENOUS THROMBOSIS, SUSCEPTIBILITY TO"	10161	1240	134											
C0019202	C0752105	Hepatolenticular Degeneration	"Parkinsonism, Juvenile"	5625	73667	134											
C0011860	C0026769	"Diabetes Mellitus, Non-Insulin-Dependent"	Multiple Sclerosis	142114	80883	134											
C0006142	C0031269	Malignant neoplasm of breast	Peutz-Jeghers Syndrome	309961	2377	133											
C0005129	C4087502	Bernard-Soulier Syndrome	Giant platelet disorder	696	591	133											
C0238198	C2239176	Gastrointestinal Stromal Tumors	Liver carcinoma	8324	130028	133											
C0268274	C0268276	"Gangliosidoses, GM2"	Juvenile GM 2 gangliosidosis	1749	133	133											
C0021364	C0268301	Male infertility	Reifenstein Syndrome	45629	2462	133											
C0024796	C0029434	Marfan Syndrome	Osteogenesis Imperfecta	7116	5398	133											
C0021364	C0039585	Male infertility	Androgen-Insensitivity Syndrome	45629	2447	132											
C0022579	C0265334	Keratoderma	Pachyonychia Congenita	2901	450	132											
C0022579	C1721007	Keratoderma	"Pachyonychia Congenita, Type 2"	2901	450	132											
C0027819	C0036341	Neuroblastoma	Schizophrenia	39783	134381	132											
C0009402	C0010054	Colorectal Carcinoma	Coronary Arteriosclerosis	201452	165082	132											
C0020676	C0038015	Hypothyroidism	Spondyloepiphyseal Dysplasia	42860	29077	132											
C0268312	C4272381	Progressive intrahepatic cholestasis	progressive familial intrahepatic cholestasis type 3	1170	131	131											
C0340978	C0403445	May-Hegglin anomaly	Fechtner syndrome	281	154	131											
C0017921	C4016980	Glycogen storage disease type II	"GLYCOGEN STORAGE DISEASE II, INFANTILE FORM"	1785	132	131											
C0410190	C1449563	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	"Cardiomyopathy, Familial Idiopathic"	719	21940	131											
C0410189	C1449563	"Muscular Dystrophy, Emery-Dreifuss"	"Cardiomyopathy, Familial Idiopathic"	721	21940	131											
C0007194	C3151204	Hypertrophic Cardiomyopathy	"CARDIOMYOPATHY, FAMILIAL HYPERTROPHIC, 16"	18881	131	131											
C0014544	C0752124	Epilepsy	Spinocerebellar Ataxia Type 6	140074	6691	131											
C0035335	C2608045	Retinoblastoma	Trilateral Retinoblastoma	21336	131	131											
C0018798	C0031190	Congenital Heart Defects	Persistent Fetal Circulation Syndrome	147610	1169	131											
C0035334	C3553943	Retinitis Pigmentosa	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	10816	168719	131											
C0024591	C0751951	Malignant hyperpyrexia due to anesthesia	Central Core Myopathy	6029	353	130											
C0027773	C2931833	Nesidioblastosis	"Hyperinsulinemic hypoglycemia, familial, 2"	579	951	130											
C0007193	C0410189	"Cardiomyopathy, Dilated"	"Muscular Dystrophy, Emery-Dreifuss"	21868	721	130											
C0007193	C0410190	"Cardiomyopathy, Dilated"	Autosomal Dominant Emery-Dreifuss Muscular Dystrophy	21868	719	130											
C0265252	C1136249	Coffin-Lowry syndrome	"Mental Retardation, X-Linked"	226	14636	130											
C0004114	C0029463	Astrocytoma	Osteosarcoma	37228	33353	130											
C0005283	C4017525	beta Thalassemia	"BETA-PLUS-THALASSEMIA, DOMINANT"	14284	223137	130											
C0013336	C0948740	Dwarfism	Hypoplasia of the pituitary gland	17277	2137	130											
C0027773	C3888018	Nesidioblastosis	Congenital Hyperinsulinism	579	951	130											
C0158981	C1864903	Neonatal diabetes mellitus	Hyperinsulinemic hypoglycemia	12461	1842	130											
C0339527	C3151202	Leber Congenital Amaurosis	LEBER CONGENITAL AMAUROSIS 8	931	129	129											
C0023522	C4017094	"Leukodystrophy, Metachromatic"	"METACHROMATIC LEUKODYSTROPHY, SEVERE"	1544	129	129											
C0019880	C4017062	Homocystinuria	HOMOCYSTINURIA DUE TO MTHFR DEFICIENCY	2160	129	129											
C0751278	C4017094	"Metachromatic Leukodystrophy, Infant"	"METACHROMATIC LEUKODYSTROPHY, SEVERE"	1544	129	129											
C0751279	C4017094	"Metachromatic Leukodystrophy, Adult-Type"	"METACHROMATIC LEUKODYSTROPHY, SEVERE"	1544	129	129											
C0003811	C0024591	Cardiac Arrhythmia	Malignant hyperpyrexia due to anesthesia	218808	6029	129											
C0085110	C0242379	Severe Combined Immunodeficiency	Malignant neoplasm of lung	7990	261819	129											
C0026705	C0086651	Mucopolysaccharidosis II	"Mucopolysaccharidosis, MPS-IV-A"	1323	1260	128											
C0311338	C1405854	Fundus Albipunctatus	Retinitis punctata albescens	128	183	128											
C1274215	C3539888	Autosomal recessive ichthyosis	"ICHTHYOSIS, CONGENITAL, AUTOSOMAL RECESSIVE 3"	638	128	128											
C0043459	C0282527	Zellweger Syndrome	Infantile Refsum Disease	1068	185	128											
C0006142	C1835398	Malignant neoplasm of breast	LI-FRAUMENI SYNDROME 1	309961	454	128											
C0263628	C4016904	Tumoral calcinosis	"TUMORAL CALCINOSIS, HYPERPHOSPHATEMIC"	43284	128	128											
C0026705	C0026707	Mucopolysaccharidosis II	Mucopolysaccharidosis IV	1323	1260	128											
C1833247	C3267013	SCHIZOPHRENIA 4	Enzyme activity increased	29175	209248	128											
C0022579	C0079153	Keratoderma	"Hyperkeratosis, Epidermolytic"	2901	578	128											
C0376358	C4016103	Malignant neoplasm of prostate	"HYPOGONADOTROPIC HYPOGONADISM 2 WITH OR WITHOUT ANOSMIA, SUSCEPTIBILITY TO"	120279	5965	128											
C0021655	C1864903	Insulin Resistance	Hyperinsulinemic hypoglycemia	113459	1842	128											
C1275126	C3889979	TNF receptor-associated periodic fever syndrome (TRAPS)	Periodic Fever Syndrome	127	1064	127											
C1527405	C2673187	Erythrocytosis	"Erythrocytosis, Familial, 4"	14085	127	127											
C1136249	C2678051	"Mental Retardation, X-Linked"	"MENTAL RETARDATION, X-LINKED 94"	14636	127	127											
C0007193	C1861864	"Cardiomyopathy, Dilated"	"Cardiomyopathy, Familial Hypertrophic, 2"	21868	641	127											
C1260899	C2750080	"Anemia, Diamond-Blackfan"	Diamond-Blackfan Anemia 10	870	128	127											
C0019061	C0268743	Hemolytic-Uremic Syndrome	"Membranoproliferative Glomerulonephritis, Type II"	7975	3840	127											
C0017662	C0019061	"Glomerulonephritis, Membranoproliferative"	Hemolytic-Uremic Syndrome	3840	7975	127											
C0020640	C0040053	Inherited Factor II deficiency	Thrombosis	1411	206016	127											
C0017658	C2931788	Glomerulonephritis	Atypical Hemolytic Uremic Syndrome	53020	1304	127											
C0398794	C1328840	Hypopigmentation-immunodeficiency disease	Autoimmune Lymphoproliferative Syndrome	600000	942	127											
C1563706	C4015884	"Nephrogenic Diabetes Insipidus, Type II"	"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL RECESSIVE"	1510	126	126											
C0162283	C4015884	Nephrogenic Diabetes Insipidus	"DIABETES INSIPIDUS, NEPHROGENIC, AUTOSOMAL RECESSIVE"	1510	126	126											
C0686353	C1850808	"Muscular Dystrophies, Limb-Girdle"	Miyoshi myopathy	1891	215	126											
C0006142	C1336839	Malignant neoplasm of breast	Type 1 Papillary Renal Cell Carcinoma	309961	2737	126											
C0023976	C0085610	Long QT Syndrome	Sinus bradycardia	9236	4405	126											
C0039685	C3280781	Tetralogy of Fallot	ATRIOVENTRICULAR SEPTAL DEFECT 4	11426	531	126											
C0085584	C0158646	Encephalopathies	Cleft palate with cleft lip	600000	15183	126											
C0342384	C3553841	Idiopathic hypogonadotropic hypogonadism	HYPOGONADOTROPIC HYPOGONADISM 8 WITH OR WITHOUT ANOSMIA	337	7784	126											
C0018798	C3888085	Congenital Heart Defects	PANCREATIC AGENESIS AND CONGENITAL HEART DEFECTS	147610	125	125											
C0751276	C1969693	"Metachromatic leukodystrophy, juvenile type"	"ARYLSULFATASE A, ALLELE A"	1544	142	125											
C0039743	C1300256	Thanatophoric Dysplasia	"Thanatophoric dysplasia, type 1"	502	125	125											
C0751279	C1969693	"Metachromatic Leukodystrophy, Adult-Type"	"ARYLSULFATASE A, ALLELE A"	1544	142	125											
C0018798	C1857586	Congenital Heart Defects	CONOTRUNCAL HEART MALFORMATIONS	147610	133	125											
C0023522	C1969693	"Leukodystrophy, Metachromatic"	"ARYLSULFATASE A, ALLELE A"	1544	142	125											
C0006142	C1836482	Malignant neoplasm of breast	Li-Fraumeni Syndrome 2	309961	427	125											
C0149781	C1868193	Spontaneous pneumothorax	"PNEUMOTHORAX, PRIMARY SPONTANEOUS"	25523	125	125											
C0020538	C0221757	Hypertensive disease	alpha 1-Antitrypsin Deficiency	480148	4551	125											
C0151718	C3807409	Hypocholesterolemia	Low LDL cholesterol	673	39387	125											
C0000768	C0339527	Congenital Abnormality	Leber Congenital Amaurosis	591498	931	125											
C0340978	C1854520	May-Hegglin anomaly	SEBASTIAN SYNDROME	281	129	124											
C0398648	C3853779	Posttransfusion purpura	Neonatal Alloimmune Thrombocytopenia	22651	850	124											
C0035334	C0155015	Retinitis Pigmentosa	"Color Blindness, Red"	10816	4267	124											
C0011860	C1864903	"Diabetes Mellitus, Non-Insulin-Dependent"	Hyperinsulinemic hypoglycemia	142114	1842	124											
C0004623	C1834752	Bacterial Infections	"MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO (finding)"	600000	159	124											
C0023467	C0549473	"Leukemia, Myelocytic, Acute"	Thyroid carcinoma	73162	68555	124											
C0007102	C0011860	Malignant tumor of colon	"Diabetes Mellitus, Non-Insulin-Dependent"	85229	142114	124											
C0030567	C2678468	Parkinson Disease	Amyotrophic Lateral Sclerosis 9	73702	2783	124											
C0009402	C0010674	Colorectal Carcinoma	Cystic Fibrosis	201452	49380	124											
C0027726	C0268747	Nephrotic Syndrome	Diffuse mesangial sclerosis	21763	171	123											
C1563720	C4016106	Kallmann Syndrome 2	HYPOGONADOTROPIC HYPOGONADISM 2 WITHOUT ANOSMIA	855	171	123											
C0162809	C4016106	Kallmann Syndrome	HYPOGONADOTROPIC HYPOGONADISM 2 WITHOUT ANOSMIA	855	171	123											
C1563720	C4016104	Kallmann Syndrome 2	HYPOGONADOTROPIC HYPOGONADISM 2 WITH ANOSMIA	855	171	123											
C0035334	C0155016	Retinitis Pigmentosa	"Color Blindness, Red-Green"	10816	4243	123											
C0162809	C4016104	Kallmann Syndrome	HYPOGONADOTROPIC HYPOGONADISM 2 WITH ANOSMIA	855	171	123											
C1136249	C3275408	"Mental Retardation, X-Linked"	"MENTAL RETARDATION, X-LINKED 96"	14636	123	123											
C0021655	C0034013	Insulin Resistance	Precocious Puberty	113459	5742	123											
C0085110	C0085584	Severe Combined Immunodeficiency	Encephalopathies	7990	600000	123											
C0079153	C1721006	"Hyperkeratosis, Epidermolytic"	"Keratoderma, Palmoplantar, Epidermolytic"	578	217	122											
C0017921	C4016981	Glycogen storage disease type II	"GLYCOGEN STORAGE DISEASE II, ADULT FORM"	1785	124	122											
C0340978	C0398641	May-Hegglin anomaly	Epstein syndrome	281	145	122											
C0014859	C0027051	Esophageal Neoplasms	Myocardial Infarction	53754	234627	122											
C0035334	C0155017	Retinitis Pigmentosa	"Color Blindness, Blue"	10816	4239	122											
C0001623	C0220766	Adrenal gland hypofunction	Congenital hypoplasia of adrenal gland	16254	572	122											
C1719788	C1720416	Episodic ataxia type 1	Episodic ataxia type 2	243	235	122											
C0018553	C0221355	"Hamartoma Syndrome, Multiple"	Macrocephaly	1768	2264	122											
C0008533	C3203356	Hemophilia B	Factor II deficiency	4899	6662	122											
C0011053	C0028754	Deafness	Obesity	39032	294455	122											
C0398563	C0472792	Deficiency of hexokinase	Hemolytic anemia due to hexokinase deficiency	376	121	121											
C0010674	C4023106	Cystic Fibrosis	Obstructive azoospermia	49380	1648	121											
C0431376	C0699743	Cobblestone Lissencephaly	Congenital muscular dystrophy	202	3138	121											
C0029925	C1333990	Ovarian Carcinoma	Hereditary Nonpolyposis Colorectal Cancer	34444	4869	121											
C0158981	C0878544	Neonatal diabetes mellitus	Cardiomyopathies	12461	89623	121											
C0009402	C0206062	Colorectal Carcinoma	"Lung Diseases, Interstitial"	201452	60977	121											
C0008533	C0015523	Hemophilia B	Factor XI Deficiency	4899	1316	120											
C0403445	C1854520	Fechtner syndrome	SEBASTIAN SYNDROME	154	129	120											
C1868672	C3496337	"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE"	Idiopathic Nephrotic Syndrome	120	4523	120											
C0403397	C1868672	Steroid-resistant nephrotic syndrome	"NEPHROTIC SYNDROME, STEROID-RESISTANT, AUTOSOMAL RECESSIVE"	1278	120	120											
C0009691	C0011053	Congenital cataract	Deafness	4934	39032	120											
C0238357	C1858891	Hyperkalemic periodic paralysis	PARAMYOTONIA CONGENITA/HYPERKALEMIC PERIODIC PARALYSIS	380	120	120											
C0398641	C0403445	Epstein syndrome	Fechtner syndrome	145	154	120											
C0221055	C0238357	Paramyotonia Congenita	Hyperkalemic periodic paralysis	6350	380	120											
C0002312	C3279561	alpha-Thalassemia	"HEMOGLOBIN H DISEASE, NONDELETIONAL"	7139	121	120											
C0403440	C1567741	Thin basement membrane disease	Alport Syndrome	358	2387	120											
C0221055	C1858891	Paramyotonia Congenita	PARAMYOTONIA CONGENITA/HYPERKALEMIC PERIODIC PARALYSIS	6350	120	120											
C0002878	C0398563	"Anemia, Hemolytic"	Deficiency of hexokinase	74976	376	120											
C3552136	C3552553	HYPOGONADOTROPHIC HYPOGONADISM 5 WITHOUT ANOSMIA	HYPOGONADOTROPIC HYPOGONADISM 5 WITH OR WITHOUT ANOSMIA	120	9285	120											
C0039870	C4016129	Thinness	"LEANNESS, SUSCEPTIBILITY TO"	7166	144	120											
C3279561	C4017522	"HEMOGLOBIN H DISEASE, NONDELETIONAL"	BETA-SHOWA-YAKUSHIJI THALASSEMIA	121	26719	120											
C1456873	C3279561	alpha^+^ Thalassemia	"HEMOGLOBIN H DISEASE, NONDELETIONAL"	7139	121	120											
C0002878	C0472792	"Anemia, Hemolytic"	Hemolytic anemia due to hexokinase deficiency	74976	121	120											
C0004352	C3553943	Autistic Disorder	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	21522	168719	120											
C0036341	C0270612	Schizophrenia	Leukoencephalopathies	134381	29481	120											
C0011053	C1846647	Deafness	"DEAFNESS, AUTOSOMAL RECESSIVE"	39032	120	120											
C0026709	C0086651	Mucopolysaccharidosis VI	"Mucopolysaccharidosis, MPS-IV-A"	681	1260	119											
C1260899	C2675512	"Anemia, Diamond-Blackfan"	Diamond-Blackfan Anemia 7	870	121	119											
C0007115	C0011860	Malignant neoplasm of thyroid	"Diabetes Mellitus, Non-Insulin-Dependent"	67377	142114	119											
C0006142	C1168401	Malignant neoplasm of breast	Squamous cell carcinoma of the head and neck	309961	7214	119											
C0028754	C4017112	Obesity	"HYPERCHOLESTEROLEMIA, FAMILIAL, 3"	294455	3058	119											
C0010324	C0017551	"Crigler Najjar syndrome, type 1"	Gilbert Disease	578	4873	119											
C0008350	C0010674	Cholelithiasis	Cystic Fibrosis	37538	49380	119											
C0026707	C0026709	Mucopolysaccharidosis IV	Mucopolysaccharidosis VI	1260	681	119											
C0002896	C0221018	Sideroblastic anemia	Hereditary sideroblastic anemia	2300	118	118											
C0011860	C0030567	"Diabetes Mellitus, Non-Insulin-Dependent"	Parkinson Disease	142114	73702	118											
C0013720	C4015954	Ehlers-Danlos Syndrome	"EHLERS-DANLOS SYNDROME, TYPE IV, VARIANT"	3717	118	118											
C0268338	C4015954	"Ehlers-Danlos Syndrome, Type IV"	"EHLERS-DANLOS SYNDROME, TYPE IV, VARIANT"	3717	118	118											
C0043346	C1866504	Xeroderma Pigmentosum	Photosensitive Trichothiodystrophy	6100	188	118											
C2697932	C3553943	Loeys-Dietz Syndrome	"T-CELL IMMUNODEFICIENCY, RECURRENT INFECTIONS, AND AUTOIMMUNITY WITH OR WITHOUT CARDIAC MALFORMATIONS"	451	168719	118											
C1837618	C2678473	"CILIARY DYSKINESIA, PRIMARY, 3"	"CILIARY DYSKINESIA, PRIMARY, 7"	504	251	118											
C0029422	C0086543	Osteochondrodysplasias	Cataract	28883	68182	118											
C0036391	C0086543	Schwartz-Jampel Syndrome	Cataract	28949	68182	118											
C0020459	C0021390	Hyperinsulinism	Inflammatory Bowel Diseases	81647	84428	118											
C0011053	C0020626	Deafness	Hypoparathyroidism	39032	8473	118											
C0007193	C1142166	"Cardiomyopathy, Dilated"	Brugada Syndrome	21868	4775	117											
C1833970	C1969537	"COLORECTAL CANCER, SOMATIC"	"OVARIAN CANCER, SOMATIC"	2214	1306	117											
C0242379	C0265950	Malignant neoplasm of lung	Venous malformation	261819	32747	117											
C0796004	C3275495	Kabuki make-up syndrome	KABUKI SYNDROME 2	431	117	117											
C0014859	C2674950	Esophageal Neoplasms	"LUNG CANCER, SUSCEPTIBILITY TO"	53754	5827	117											
C0338503	C0857439	Septo-Optic Dysplasia	Pituitary hormone deficiency	461	18247	117											
C0018784	C3711374	Sensorineural Hearing Loss	Nonsyndromic Deafness	29379	364	117											
C0017668	C1567741	Focal glomerulosclerosis	Alport Syndrome	7182	2387	117											
C0015503	C0015519	Factor VII Deficiency	Factor X Deficiency	1829	560	116											
C0398641	C1854520	Epstein syndrome	SEBASTIAN SYNDROME	145	129	116											
C0175704	C1969056	LEOPARD Syndrome	LEOPARD SYNDROME 2	420	116	116											
