	Original Row	CUI1	CUI2	Disease1	Disease2	PubMed1	PubMed2	Common_PubMed_IDs	Level_of_similarity	Level_of_confidence	Percent Common Papers	Name Relations	Paper Relations	Concept Relations Type
183	10627	C0007194	C1834481	Hypertrophic Cardiomyopathy	CARDIOMYOPATHY, DILATED, 1S	18881	4	1			25	1	25	[u'RO', 6]
184	3824	C0008370	C3151147	Cholestasis	Bile Acid Synthesis Defect, Congenital, 3	37733	102	26			25	0	25	['N/A', '10']
185	7151	C0010273	C3281247	Craniofacial Dysostosis	BENT BONE DYSPLASIA SYNDROME	5697	34	4			11	0	11	['N/A', '10']
186	6726	C0014474	C1510426	Ependymoma	choroid plexus carcinoma, childhood	6230	39	5			12	0	12	[u'RO', 6]
187	7253	C1851162	C2674643	BLADDER CANCER, SOMATIC	KERATOSIS, SEBORRHEIC, SOMATIC	398	15	4			26	0	26	['N/A', '10']
188	4235	C0175699	C1864436	Saethre-Chotzen Syndrome	Muenke Syndrome	1615	72	20			27	0	27	['N/A', '10']
189	3759	C0039445	C0345893	Hereditary hemorrhagic telangiectasia	Juvenile polyposis syndrome	3641	217	27			12	0	12	[u'RO', 6]
190	1316	C0006142	C1969537	Malignant neoplasm of breast	OVARIAN CANCER, SOMATIC	309961	1306	276			21	0	21	['N/A', '10']
191	10529	C0241889	C4017003	Family history	FH AFRIKANER 2 PHENOTYPE	117019	4	1			25	0	25	['N/A', '10']
192	11379	C0398621	C1835362	Hypoplasminogenemia	Lp(A) Deficiency, Congenital	53	8	1			12	0	12	['N/A', '10']
193	3151	C0020438	C0342345	Hypercalciuria	Hypoparathyroidism - autosomal dominant	3967	162	41			25	0	25	[u'RO', 6]
194	1499	C0015499	C0019069	Factor V Deficiency	Hemophilia A	871	21082	213			24	0	24	[u'RO', 6]
195	2998	C0431399	C1837713	Familial aplasia of the vermis	JOUBERT SYNDROME 3	213	159	46			28	0	28	[u'RO', 6]
196	10914	C1869116	C1970474	ASTHMA, SUSCEPTIBILITY TO (finding)	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 4	360	7	1			14	3	14	['N/A', '10']
197	3511	C0282527	C1832200	Infantile Refsum Disease	Peroxisome biogenesis disorders	185	219	32			17	0	17	['N/A', '10']
198	7682	C0220710	C4017056	Medium-chain acyl-coenzyme A dehydrogenase deficiency	ISOVALERIC ACIDEMIA, TYPE I	438	26	3			11	0	11	['N/A', '10']
199	5998	C0268301	C2678098	Reifenstein Syndrome	Hypospadias 1, X-Linked	2462	42	7			16	0	16	['N/A', '10']
200	4709	C0086651	C4017253	Mucopolysaccharidosis, MPS-IV-A	MUCOPOLYSACCHARIDOSIS, TYPE VI, SEVERE	1260	115	15			13	1	13	['N/A', '10']
201	3270	C0026760	C0265253	Multiple Epiphyseal Dysplasia	Stickler syndrome	29049	344	38			11	0	11	[u'RO', 6]
202	3072	C1843898	C4016383	BODY MASS INDEX QUANTITATIVE TRAIT LOCUS 4	OBESITY, ASSOCIATION WITH	161	42427	44			27	0	27	['N/A', '10']
203	2165	C0026709	C0086647	Mucopolysaccharidosis VI	Mucopolysaccharidosis Type IIIA	681	889	101			14	1	14	[u'RB2', 5]
204	2968	C0017638	C0431109	Glioma	Choroid Plexus Carcinoma	87189	308	48			15	0	15	[u'RO', 6]
205	10938	C1853710	C3159322	HEREDITARY MOTOR AND SENSORY NEUROPATHY, TYPE IIC	SPONDYLOEPIPHYSEAL DYSPLASIA, MAROTEAUX TYPE	7	65	1			14	0	14	['N/A', '10']
206	3345	C0029434	C0264080	Osteogenesis Imperfecta	Juvenile osteoporosis	5398	144	36			25	0	25	[u'RO', 6]
207	2105	C0917713	C4016477	Becker Muscular Dystrophy	INTERMEDIATE MUSCULAR DYSTROPHY	11109	393	108			27	2	27	['N/A', '10']
208	1922	C0022579	C0079153	Keratoderma	Hyperkeratosis, Epidermolytic	2901	578	128			22	0	22	[u'RO', 6]
209	3799	C0175695	C0265210	Sotos' syndrome	Weaver syndrome	473	109	26			23	0	23	[u'RO', 6]
210	3426	C0020608	C0265341	Hypodontia	Rieger syndrome	4163	308	34			11	0	11	[u'RO', 6]
211	2422	C0007193	C3152137	Cardiomyopathy, Dilated	LEFT VENTRICULAR NONCOMPACTION 3	21868	405	80			19	0	19	['N/A', '10']
212	1653	C0015503	C0020640	Factor VII Deficiency	Inherited Factor II deficiency	1829	1411	176			12	1	12	[u'RO', 6]
213	4070	C0431399	C1969053	Familial aplasia of the vermis	JOUBERT SYNDROME 7	213	75	22			29	0	29	[u'RO', 6]
214	7715	C1850993	C2673946	Foveal Hypoplasia, Isolated	Foveal hypoplasia (finding)	12	152	3			25	2	25	['N/A', '10']
215	6246	C0017662	C0398777	Glomerulonephritis, Membranoproliferative	Complement Factor H Deficiency	3840	42	6			14	0	14	['N/A', '10']
216	1595	C0026705	C0026709	Mucopolysaccharidosis II	Mucopolysaccharidosis VI	1323	681	189			27	1	27	[u'RO', 6]
217	7047	C0018798	C1840333	Congenital Heart Defects	Barakat syndrome	147610	34	4			11	0	11	['N/A', '10']
218	6016	C0039585	C2678098	Androgen-Insensitivity Syndrome	Hypospadias 1, X-Linked	2447	42	7			16	0	16	['N/A', '10']
219	2280	C0027127	C0238357	Myotonia Congenita	Hyperkalemic periodic paralysis	1128	380	91			23	0	23	[u'RO', 6]
220	2008	C0026709	C0086651	Mucopolysaccharidosis VI	Mucopolysaccharidosis, MPS-IV-A	681	1260	119			17	1	17	[u'RO', 6]
221	4825	C1836026	C3845231	PROGUANIL, POOR METABOLISM OF	Poor metabolizer	61	1006	14			22	1	22	['N/A', '10']
222	3375	C0220704	C1857586	Shprintzen syndrome	CONOTRUNCAL HEART MALFORMATIONS	2741	133	35			26	0	26	[u'RO', 6]
223	2495	C2910227	C4314863	Multicystic kidney disease	Renal tract malformations	447	4169	74			16	0	16	['N/A', '10']
224	7178	C2609268	C4272382	Low phospholipid-associated cholelithiasis	progressive familial intrahepatic cholestasis type 2	36	138	4			11	0	11	['N/A', '10']
225	532	C0001768	C4016473	Agammaglobulinemia	HYPOAGAMMAGLOBULINEMIA, X-LINKED	7575	31425	1252			16	0	16	['N/A', '10']
226	1006	C0040038	C0242666	Thromboembolism	Protein S Deficiency	70934	1682	441			26	0	26	['N/A', '10']
227	3428	C1857586	C4016770	CONOTRUNCAL HEART MALFORMATIONS	CONOTRUNCAL ANOMALY FACE SYNDROME/VELOCARDIOFACIAL SYNDROME	133	2572	34			25	1	25	['N/A', '10']
228	3268	C0854723	C1855465	Retinal Dystrophies	STARGARDT DISEASE 1	9449	253	38			15	0	15	[u'RO', 6]
229	1356	C0085390	C0346429	Li-Fraumeni Syndrome	Multiple malignancy	1216	215327	260			21	0	21	[u'RN2', 4]
230	4536	C0035828	C3150943	Romano-Ward Syndrome	Long Qt Syndrome 2	345	81	16			19	0	19	[u'RO', 6]
231	1751	C0242343	C3489787	Panhypopituitarism	Pituitary Hormone Deficiency, Combined, 3	1599	603	155			25	0	25	[u'RB2', 5]
232	915	C0221355	C3151356	Macrocephaly	MEGALENCEPHALIC LEUKOENCEPHALOPATHY WITH SUBCORTICAL CYSTS 2B, REMITTING, WITH OR WITHOUT MENTAL RETARDATION	2264	112283	540			23	0	23	['N/A', '10']
233	12506	C0007194	C3150681	Hypertrophic Cardiomyopathy	CARDIOMYOPATHY, DILATED, 1R	18881	6	1			16	1	16	['N/A', '10']
234	2191	C1860985	C4016282	GASTRIC CANCER, SOMATIC	BREAST CANCER, SOMATIC	677	2539	98			14	1	14	['N/A', '10']
235	5366	C2673196	C4015861	LIPOPROTEIN GLOMERULOPATHY	HYPERLIPOPROTEINEMIA, TYPE III, ASSOCIATED WITH APOE2	118	84	10			11	0	11	['N/A', '10']
236	4555	C0339526	C3151202	Autosomal recessive retinitis pigmentosa	LEBER CONGENITAL AMAUROSIS 8	1150	129	16			12	0	12	['N/A', '10']
237	4592	C0032339	C0265308	Rothmund-Thomson syndrome	Baller-Gerold syndrome	684	65	16			24	0	24	['N/A', '10']
238	9351	C0431376	C3836730	Cobblestone Lissencephaly	muscular dystrophy - dystroglycanopathy - congenital with intellectual disabilities	202	11	2			18	0	18	['N/A', '10']
239	3293	C0268615	C4017062	5,10-Methylenetetrahydrofolate reductase deficiency	HOMOCYSTINURIA DUE TO MTHFR DEFICIENCY	164	129	37			28	0	28	['N/A', '10']
240	2816	C0271093	C0854723	Stargardt's disease	Retinal Dystrophies	268	9449	55			20	0	20	[u'RO', 6]
241	4898	C1321551	C2697932	Shprintzen-Goldberg syndrome	Loeys-Dietz Syndrome	59	451	13			22	0	22	[u'RN2', 4]
242	801	C0002312	C3890413	alpha-Thalassemia	HEMOGLOBIN I PHENOTYPE	7139	3633	694			19	0	19	[u'RO', 6]
243	1787	C0025269	C1833929	Multiple Endocrine Neoplasia Type 2b	THYROID CARCINOMA, SPORADIC MEDULLARY	813	948	150			18	0	18	['N/A', '10']
244	9988	C0268338	C1858084	Ehlers-Danlos Syndrome, Type IV	STICKLER SYNDROME, TYPE II	3717	7	1			14	0	14	['N/A', '10']
245	959	C0032580	C4228834	Adenomatous Polyposis Coli	Colorectal adenomas, multiple	8907	1688	496			29	0	29	['N/A', '10']
246	10932	C0265235	C1858084	Marshall syndrome	STICKLER SYNDROME, TYPE II	58	7	1			14	0	14	['N/A', '10']
247	6093	C1838163	C4016725	OSLER-RENDU-WEBER SYNDROME 2	TELANGIECTASIA, HEREDITARY HEMORRHAGIC, TYPE II	36	233	7			19	0	19	['N/A', '10']
248	1109	C0236642	C0750901	Pick Disease of the Brain	Alzheimer Disease, Early Onset	1447	98242	374			25	0	25	[u'RO', 6]
249	996	C0009402	C0031269	Colorectal Carcinoma	Peutz-Jeghers Syndrome	201452	2377	453			19	0	19	[u'RO', 6]
